depth,cx,time,depth_std,cx_std,time_std,circuit,layout_pass,max_iter,beam,look,crit
1,1,0.02238321304321289,0.0,0.0,0.0012510828427527922,ghz_2.qasm,SabreLayout,3,1,1,1
2,2,0.019568920135498047,0.0,0.0,0.0004968487417418373,ghz_3.qasm,SabreLayout,3,1,1,1
5,6,0.020326852798461914,2.7726341266023544,2.48746859276655,0.009910787465109911,ghz_4.qasm,SabreLayout,3,1,1,1
7,7,0.019610166549682617,2.48746859276655,2.48746859276655,0.0005862031330218442,ghz_5.qasm,SabreLayout,3,1,1,1
14,14,0.01998281478881836,1.0897247358851685,1.299038105676658,0.0006907178889388598,ghz_6.qasm,SabreLayout,3,1,1,1
8,15,0.022779226303100586,5.717298313014636,3.2691742076555053,0.0008960779998775283,ghz_7.qasm,SabreLayout,3,1,1,1
19,19,0.021036624908447266,7.088723439378913,8.584142356694699,0.0005068278067848117,ghz_8.qasm,SabreLayout,3,1,1,1
21,32,0.023159027099609375,7.1545440106270926,10.606601717798213,0.011818107512660787,ghz_9.qasm,SabreLayout,3,1,1,1
27,36,0.021142005920410156,7.3484692283495345,9.12414379544733,0.0005650346035019778,ghz_10.qasm,SabreLayout,3,1,1,1
32,40,0.02151179313659668,5.539629951540085,8.077747210701755,0.0004947624237358854,ghz_11.qasm,SabreLayout,3,1,1,1
34,41,0.02483367919921875,5.0682837331783235,7.648529270389178,0.0010032518022259935,ghz_12.qasm,SabreLayout,3,1,1,1
43,81,0.024040937423706055,2.48746859276655,8.317902379807062,0.011639580045714453,ghz_13.qasm,SabreLayout,3,1,1,1
46,64,0.024061203002929688,4.031128874149275,8.077747210701755,0.0003183503886087825,ghz_14.qasm,SabreLayout,3,1,1,1
48,77,0.02387404441833496,6.103277807866851,5.7608593109014565,0.00019996007178663182,ghz_15.qasm,SabreLayout,3,1,1,1
62,84,0.025166988372802734,6.49519052838329,13.141061600951424,0.012445948493607237,ghz_16.qasm,SabreLayout,3,1,1,1
66,109,0.025567293167114258,7.949056547792323,17.282577932704367,0.0004188887556756705,ghz_17.qasm,SabreLayout,3,1,1,1
68,89,0.025248050689697266,5.889609494694874,14.905955185763842,0.0005716880563042274,ghz_18.qasm,SabreLayout,3,1,1,1
74,105,0.02591991424560547,8.525696452489967,11.691342951089922,0.0006136672499273945,ghz_19.qasm,SabreLayout,3,1,1,1
72,100,0.026256084442138672,8.200609733428363,11.521718621802913,0.011188792567290365,ghz_20.qasm,SabreLayout,3,1,1,1
85,143,0.025593996047973633,8.411301920630361,7.648529270389178,0.00015586403768729005,ghz_21.qasm,SabreLayout,3,1,1,1
