best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 29, 'depth_ratio': 2.9, 'time': 0.061727046966552734, 'cx_gates': 21, 'num_gates': 41}","{'depth': 3.633, 'depth_ratio': 0.3633, 'time': 0.01397, 'cx_gates': 1.897, 'num_gates': 1.897}",sabre_look_8_v0.20,sabre_0.20,hex_7,0
"{'depth': 68, 'depth_ratio': 3.4, 'time': 0.30417704582214355, 'cx_gates': 60, 'num_gates': 100}","{'depth': 4.665, 'depth_ratio': 0.2332, 'time': 0.04309, 'cx_gates': 6.177, 'num_gates': 6.177}",sabre_look_8_v0.20,sabre_0.20,hex_7,1
"{'depth': 115, 'depth_ratio': 3.83, 'time': 0.7603282928466797, 'cx_gates': 111, 'num_gates': 171}","{'depth': 5.636, 'depth_ratio': 0.1874, 'time': 0.3154, 'cx_gates': 8.27, 'num_gates': 8.27}",sabre_look_8_v0.20,sabre_0.20,hex_7,2
"{'depth': 168, 'depth_ratio': 4.2, 'time': 1.166672945022583, 'cx_gates': 135, 'num_gates': 215}","{'depth': 8.089, 'depth_ratio': 0.2039, 'time': 0.2101, 'cx_gates': 18.1, 'num_gates': 18.1}",sabre_look_8_v0.20,sabre_0.20,hex_7,3
"{'depth': 189, 'depth_ratio': 3.78, 'time': 1.2688498497009277, 'cx_gates': 141, 'num_gates': 241}","{'depth': 13.96, 'depth_ratio': 0.2791, 'time': 0.374, 'cx_gates': 23.08, 'num_gates': 23.08}",sabre_look_8_v0.20,sabre_0.20,hex_7,4
"{'depth': 249, 'depth_ratio': 4.15, 'time': 1.7011759281158447, 'cx_gates': 192, 'num_gates': 312}","{'depth': 14.46, 'depth_ratio': 0.2423, 'time': 0.2606, 'cx_gates': 20.7, 'num_gates': 20.7}",sabre_look_8_v0.20,sabre_0.20,hex_7,5
"{'depth': 302, 'depth_ratio': 4.31, 'time': 2.1725878715515137, 'cx_gates': 231, 'num_gates': 371}","{'depth': 5.607, 'depth_ratio': 0.08099, 'time': 0.4435, 'cx_gates': 7.684, 'num_gates': 7.684}",sabre_look_8_v0.20,sabre_0.20,hex_7,6
"{'depth': 317, 'depth_ratio': 3.96, 'time': 3.2513983249664307, 'cx_gates': 237, 'num_gates': 397}","{'depth': 13.22, 'depth_ratio': 0.1658, 'time': 0.2668, 'cx_gates': 30.22, 'num_gates': 30.22}",sabre_look_8_v0.20,sabre_0.20,hex_7,7
"{'depth': 360, 'depth_ratio': 4.0, 'time': 3.706433057785034, 'cx_gates': 264, 'num_gates': 444}","{'depth': 12.95, 'depth_ratio': 0.1436, 'time': 0.3774, 'cx_gates': 37.11, 'num_gates': 37.11}",sabre_look_8_v0.20,sabre_0.20,hex_7,8
"{'depth': 413, 'depth_ratio': 4.13, 'time': 3.4688611030578613, 'cx_gates': 303, 'num_gates': 503}","{'depth': 8.333, 'depth_ratio': 0.08333, 'time': 0.3053, 'cx_gates': 10.15, 'num_gates': 10.15}",sabre_look_8_v0.20,sabre_0.20,hex_7,9
"{'depth': 475, 'depth_ratio': 4.32, 'time': 4.795187950134277, 'cx_gates': 360, 'num_gates': 580}","{'depth': 6.645, 'depth_ratio': 0.05967, 'time': 0.4424, 'cx_gates': 3.6, 'num_gates': 3.6}",sabre_look_8_v0.20,sabre_0.20,hex_7,10
"{'depth': 488, 'depth_ratio': 4.07, 'time': 5.916091203689575, 'cx_gates': 465, 'num_gates': 705}","{'depth': 21.04, 'depth_ratio': 0.1734, 'time': 0.5316, 'cx_gates': 24.81, 'num_gates': 24.81}",sabre_look_8_v0.20,sabre_0.20,hex_7,11
"{'depth': 521, 'depth_ratio': 4.01, 'time': 4.128828048706055, 'cx_gates': 363, 'num_gates': 623}","{'depth': 20.66, 'depth_ratio': 0.1586, 'time': 0.6317, 'cx_gates': 55.5, 'num_gates': 55.5}",sabre_look_8_v0.20,sabre_0.20,hex_7,12
"{'depth': 586, 'depth_ratio': 4.19, 'time': 5.9602580070495605, 'cx_gates': 540, 'num_gates': 820}","{'depth': 19.71, 'depth_ratio': 0.1408, 'time': 0.2405, 'cx_gates': 32.56, 'num_gates': 32.56}",sabre_look_8_v0.20,sabre_0.20,hex_7,13
"{'depth': 624, 'depth_ratio': 4.16, 'time': 6.367604970932007, 'cx_gates': 459, 'num_gates': 759}","{'depth': 19.9, 'depth_ratio': 0.1314, 'time': 0.1499, 'cx_gates': 17.66, 'num_gates': 17.66}",sabre_look_8_v0.20,sabre_0.20,hex_7,14
"{'depth': 681, 'depth_ratio': 4.26, 'time': 6.135404109954834, 'cx_gates': 510, 'num_gates': 830}","{'depth': 12.11, 'depth_ratio': 0.07338, 'time': 0.4573, 'cx_gates': 11.0, 'num_gates': 11.0}",sabre_look_8_v0.20,sabre_0.20,hex_7,15
"{'depth': 726, 'depth_ratio': 4.27, 'time': 6.55721116065979, 'cx_gates': 540, 'num_gates': 880}","{'depth': 24.0, 'depth_ratio': 0.143, 'time': 0.571, 'cx_gates': 26.25, 'num_gates': 26.25}",sabre_look_8_v0.20,sabre_0.20,hex_7,16
"{'depth': 746, 'depth_ratio': 4.14, 'time': 6.826613903045654, 'cx_gates': 543, 'num_gates': 903}","{'depth': 21.08, 'depth_ratio': 0.1199, 'time': 0.9234, 'cx_gates': 63.34, 'num_gates': 63.34}",sabre_look_8_v0.20,sabre_0.20,hex_7,17
"{'depth': 820, 'depth_ratio': 4.32, 'time': 8.788510084152222, 'cx_gates': 612, 'num_gates': 992}","{'depth': 24.86, 'depth_ratio': 0.1285, 'time': 0.5931, 'cx_gates': 18.06, 'num_gates': 18.06}",sabre_look_8_v0.20,sabre_0.20,hex_7,18
"{'depth': 848, 'depth_ratio': 4.24, 'time': 8.148384809494019, 'cx_gates': 615, 'num_gates': 1015}","{'depth': 16.55, 'depth_ratio': 0.08367, 'time': 0.4903, 'cx_gates': 21.42, 'num_gates': 21.42}",sabre_look_8_v0.20,sabre_0.20,hex_7,19
"{'depth': 875, 'depth_ratio': 4.17, 'time': 9.441139221191406, 'cx_gates': 663, 'num_gates': 1083}","{'depth': 33.54, 'depth_ratio': 0.1592, 'time': 0.6357, 'cx_gates': 21.85, 'num_gates': 21.85}",sabre_look_8_v0.20,sabre_0.20,hex_7,20
"{'depth': 944, 'depth_ratio': 4.29, 'time': 10.013381242752075, 'cx_gates': 702, 'num_gates': 1142}","{'depth': 22.27, 'depth_ratio': 0.1013, 'time': 1.376, 'cx_gates': 95.89, 'num_gates': 95.89}",sabre_look_8_v0.20,sabre_0.20,hex_7,21
"{'depth': 947, 'depth_ratio': 4.12, 'time': 12.50647497177124, 'cx_gates': 894, 'num_gates': 1354}","{'depth': 33.38, 'depth_ratio': 0.1449, 'time': 1.234, 'cx_gates': 81.44, 'num_gates': 81.44}",sabre_look_8_v0.20,sabre_0.20,hex_7,22
