best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 28, 'depth_ratio': 2.8, 'time': 0.03889584541320801, 'cx_gates': 18, 'num_gates': 38}","{'depth': 5.075, 'depth_ratio': 0.5075, 'time': 0.003554, 'cx_gates': 5.499, 'num_gates': 5.499}",sabre_v020_look_2_beam_10,sabre_v020,hex_7,0
"{'depth': 67, 'depth_ratio': 3.35, 'time': 0.07883691787719727, 'cx_gates': 57, 'num_gates': 97}","{'depth': 4.758, 'depth_ratio': 0.2379, 'time': 0.3541, 'cx_gates': 5.564, 'num_gates': 5.564}",sabre_v020_look_2_beam_10,sabre_v020,hex_7,1
"{'depth': 112, 'depth_ratio': 3.73, 'time': 0.12510013580322266, 'cx_gates': 87, 'num_gates': 147}","{'depth': 3.007, 'depth_ratio': 0.1009, 'time': 0.005669, 'cx_gates': 8.818, 'num_gates': 8.818}",sabre_v020_look_2_beam_10,sabre_v020,hex_7,2
"{'depth': 158, 'depth_ratio': 3.95, 'time': 0.18561601638793945, 'cx_gates': 126, 'num_gates': 206}","{'depth': 5.367, 'depth_ratio': 0.1342, 'time': 0.004292, 'cx_gates': 15.71, 'num_gates': 15.71}",sabre_v020_look_2_beam_10,sabre_v020,hex_7,3
"{'depth': 186, 'depth_ratio': 3.72, 'time': 0.2227480411529541, 'cx_gates': 144, 'num_gates': 244}","{'depth': 15.58, 'depth_ratio': 0.3116, 'time': 0.009808, 'cx_gates': 27.46, 'num_gates': 27.46}",sabre_v020_look_2_beam_10,sabre_v020,hex_7,4
"{'depth': 229, 'depth_ratio': 3.82, 'time': 0.28110408782958984, 'cx_gates': 213, 'num_gates': 333}","{'depth': 8.635, 'depth_ratio': 0.1415, 'time': 0.3653, 'cx_gates': 9.02, 'num_gates': 9.02}",sabre_v020_look_2_beam_10,sabre_v020,hex_7,5
"{'depth': 255, 'depth_ratio': 3.64, 'time': 0.31054210662841797, 'cx_gates': 192, 'num_gates': 332}","{'depth': 7.684, 'depth_ratio': 0.1097, 'time': 0.008264, 'cx_gates': 32.5, 'num_gates': 32.5}",sabre_v020_look_2_beam_10,sabre_v020,hex_7,6
"{'depth': 299, 'depth_ratio': 3.74, 'time': 0.36760783195495605, 'cx_gates': 222, 'num_gates': 382}","{'depth': 5.2, 'depth_ratio': 0.064, 'time': 0.01285, 'cx_gates': 28.8, 'num_gates': 28.8}",sabre_v020_look_2_beam_10,sabre_v020,hex_7,7
"{'depth': 350, 'depth_ratio': 3.89, 'time': 0.40835118293762207, 'cx_gates': 273, 'num_gates': 453}","{'depth': 8.542, 'depth_ratio': 0.0933, 'time': 0.3653, 'cx_gates': 40.52, 'num_gates': 40.52}",sabre_v020_look_2_beam_10,sabre_v020,hex_7,8
"{'depth': 376, 'depth_ratio': 3.76, 'time': 0.454118013381958, 'cx_gates': 270, 'num_gates': 470}","{'depth': 9.466, 'depth_ratio': 0.09466, 'time': 0.3738, 'cx_gates': 48.94, 'num_gates': 48.94}",sabre_v020_look_2_beam_10,sabre_v020,hex_7,9
"{'depth': 413, 'depth_ratio': 3.75, 'time': 1.461122751235962, 'cx_gates': 375, 'num_gates': 595}","{'depth': 16.11, 'depth_ratio': 0.1463, 'time': 0.3783, 'cx_gates': 41.72, 'num_gates': 41.72}",sabre_v020_look_2_beam_10,sabre_v020,hex_7,10
"{'depth': 433, 'depth_ratio': 3.61, 'time': 0.530411958694458, 'cx_gates': 321, 'num_gates': 561}","{'depth': 10.4, 'depth_ratio': 0.08612, 'time': 0.4115, 'cx_gates': 49.67, 'num_gates': 49.67}",sabre_v020_look_2_beam_10,sabre_v020,hex_7,11
"{'depth': 498, 'depth_ratio': 3.83, 'time': 1.5372130870819092, 'cx_gates': 453, 'num_gates': 713}","{'depth': 3.633, 'depth_ratio': 0.02871, 'time': 0.3657, 'cx_gates': 28.74, 'num_gates': 28.74}",sabre_v020_look_2_beam_10,sabre_v020,hex_7,12
