best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 28, 'depth_ratio': 2.8, 'time': 0.054078102111816406, 'cx_gates': 18, 'num_gates': 38}","{'depth': 3.97, 'depth_ratio': 0.397, 'time': 0.004437, 'cx_gates': 3.499, 'num_gates': 3.499}",sabre_look_4_v0.20,sabre_0.20,hex_7,0
"{'depth': 63, 'depth_ratio': 3.15, 'time': 0.18706679344177246, 'cx_gates': 63, 'num_gates': 103}","{'depth': 8.035, 'depth_ratio': 0.4017, 'time': 0.03877, 'cx_gates': 6.573, 'num_gates': 6.573}",sabre_look_4_v0.20,sabre_0.20,hex_7,1
"{'depth': 109, 'depth_ratio': 3.63, 'time': 0.4303758144378662, 'cx_gates': 105, 'num_gates': 165}","{'depth': 7.985, 'depth_ratio': 0.2681, 'time': 0.04222, 'cx_gates': 7.2, 'num_gates': 7.2}",sabre_look_4_v0.20,sabre_0.20,hex_7,2
"{'depth': 175, 'depth_ratio': 4.38, 'time': 0.537294864654541, 'cx_gates': 141, 'num_gates': 221}","{'depth': 5.879, 'depth_ratio': 0.1458, 'time': 0.2915, 'cx_gates': 19.35, 'num_gates': 19.35}",sabre_look_4_v0.20,sabre_0.20,hex_7,3
"{'depth': 189, 'depth_ratio': 3.78, 'time': 0.7786819934844971, 'cx_gates': 180, 'num_gates': 280}","{'depth': 15.11, 'depth_ratio': 0.3023, 'time': 0.04191, 'cx_gates': 13.36, 'num_gates': 13.36}",sabre_look_4_v0.20,sabre_0.20,hex_7,4
"{'depth': 231, 'depth_ratio': 3.85, 'time': 0.922332763671875, 'cx_gates': 219, 'num_gates': 339}","{'depth': 15.51, 'depth_ratio': 0.2598, 'time': 0.29, 'cx_gates': 6.462, 'num_gates': 6.462}",sabre_look_4_v0.20,sabre_0.20,hex_7,5
"{'depth': 277, 'depth_ratio': 3.96, 'time': 0.93221116065979, 'cx_gates': 225, 'num_gates': 365}","{'depth': 12.06, 'depth_ratio': 0.1715, 'time': 0.03908, 'cx_gates': 6.946, 'num_gates': 6.946}",sabre_look_4_v0.20,sabre_0.20,hex_7,6
"{'depth': 328, 'depth_ratio': 4.1, 'time': 1.6335599422454834, 'cx_gates': 315, 'num_gates': 475}","{'depth': 10.5, 'depth_ratio': 0.1298, 'time': 0.1448, 'cx_gates': 17.84, 'num_gates': 17.84}",sabre_look_4_v0.20,sabre_0.20,hex_7,7
"{'depth': 321, 'depth_ratio': 3.57, 'time': 1.4049241542816162, 'cx_gates': 276, 'num_gates': 456}","{'depth': 12.45, 'depth_ratio': 0.1375, 'time': 0.2553, 'cx_gates': 34.23, 'num_gates': 34.23}",sabre_look_4_v0.20,sabre_0.20,hex_7,8
"{'depth': 388, 'depth_ratio': 3.88, 'time': 1.5898709297180176, 'cx_gates': 309, 'num_gates': 509}","{'depth': 16.12, 'depth_ratio': 0.1612, 'time': 0.3254, 'cx_gates': 15.6, 'num_gates': 15.6}",sabre_look_4_v0.20,sabre_0.20,hex_7,9
"{'depth': 454, 'depth_ratio': 4.13, 'time': 2.70497989654541, 'cx_gates': 342, 'num_gates': 562}","{'depth': 10.4, 'depth_ratio': 0.09466, 'time': 0.3126, 'cx_gates': 10.22, 'num_gates': 10.22}",sabre_look_4_v0.20,sabre_0.20,hex_7,10
"{'depth': 481, 'depth_ratio': 4.01, 'time': 2.5485103130340576, 'cx_gates': 471, 'num_gates': 711}","{'depth': 15.16, 'depth_ratio': 0.1254, 'time': 0.3978, 'cx_gates': 32.42, 'num_gates': 32.42}",sabre_look_4_v0.20,sabre_0.20,hex_7,11
