best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 2, 'depth_ratio': 1.0, 'time': 0.024865150451660156, 'cx_gates': 1, 'num_gates': 2}","{'depth': 0, 'depth_ratio': 0, 'time': 0.001415, 'cx_gates': 0, 'num_gates': 0}",sabre_v020_look_2_beam_10,sabre_v020,hex_127,0
"{'depth': 3, 'depth_ratio': 1.0, 'time': 0.024365901947021484, 'cx_gates': 2, 'num_gates': 3}","{'depth': 0, 'depth_ratio': 0, 'time': 0.002031, 'cx_gates': 0, 'num_gates': 0}",sabre_v020_look_2_beam_10,sabre_v020,hex_127,1
"{'depth': 6, 'depth_ratio': 1.5, 'time': 0.02680492401123047, 'cx_gates': 6, 'num_gates': 7}","{'depth': 0.4, 'depth_ratio': 0.1, 'time': 0.002398, 'cx_gates': 0, 'num_gates': 0}",sabre_v020_look_2_beam_10,sabre_v020,hex_127,2
"{'depth': 7, 'depth_ratio': 1.4, 'time': 0.028254985809326172, 'cx_gates': 10, 'num_gates': 11}","{'depth': 1.47, 'depth_ratio': 0.2939, 'time': 0.003011, 'cx_gates': 1.47, 'num_gates': 1.47}",sabre_v020_look_2_beam_10,sabre_v020,hex_127,3
"{'depth': 8, 'depth_ratio': 1.33, 'time': 0.03305768966674805, 'cx_gates': 11, 'num_gates': 12}","{'depth': 1.96, 'depth_ratio': 0.327, 'time': 0.002227, 'cx_gates': 1.2, 'num_gates': 1.2}",sabre_v020_look_2_beam_10,sabre_v020,hex_127,4
"{'depth': 13, 'depth_ratio': 1.86, 'time': 0.04026985168457031, 'cx_gates': 21, 'num_gates': 22}","{'depth': 2.059, 'depth_ratio': 0.2916, 'time': 0.005434, 'cx_gates': 2.245, 'num_gates': 2.245}",sabre_v020_look_2_beam_10,sabre_v020,hex_127,5
"{'depth': 19, 'depth_ratio': 2.38, 'time': 0.03865790367126465, 'cx_gates': 22, 'num_gates': 23}","{'depth': 0.9798, 'depth_ratio': 0.1213, 'time': 0.004559, 'cx_gates': 6.177, 'num_gates': 6.177}",sabre_v020_look_2_beam_10,sabre_v020,hex_127,6
"{'depth': 20, 'depth_ratio': 2.22, 'time': 0.04848814010620117, 'cx_gates': 23, 'num_gates': 24}","{'depth': 1.2, 'depth_ratio': 0.1367, 'time': 0.001635, 'cx_gates': 1.897, 'num_gates': 1.897}",sabre_v020_look_2_beam_10,sabre_v020,hex_127,7
"{'depth': 20, 'depth_ratio': 2.0, 'time': 0.056516170501708984, 'cx_gates': 30, 'num_gates': 31}","{'depth': 1.166, 'depth_ratio': 0.1166, 'time': 0.002949, 'cx_gates': 6.177, 'num_gates': 6.177}",sabre_v020_look_2_beam_10,sabre_v020,hex_127,8
"{'depth': 24, 'depth_ratio': 2.18, 'time': 0.04685688018798828, 'cx_gates': 28, 'num_gates': 29}","{'depth': 2.993, 'depth_ratio': 0.2737, 'time': 0.008451, 'cx_gates': 7.96, 'num_gates': 7.96}",sabre_v020_look_2_beam_10,sabre_v020,hex_127,9
"{'depth': 26, 'depth_ratio': 2.17, 'time': 0.07623887062072754, 'cx_gates': 53, 'num_gates': 54}","{'depth': 4.308, 'depth_ratio': 0.3593, 'time': 0.009751, 'cx_gates': 12.5, 'num_gates': 12.5}",sabre_v020_look_2_beam_10,sabre_v020,hex_127,10
"{'depth': 31, 'depth_ratio': 2.38, 'time': 0.0920100212097168, 'cx_gates': 72, 'num_gates': 73}","{'depth': 2.857, 'depth_ratio': 0.2214, 'time': 0.01151, 'cx_gates': 21.88, 'num_gates': 21.88}",sabre_v020_look_2_beam_10,sabre_v020,hex_127,11
"{'depth': 37, 'depth_ratio': 2.64, 'time': 0.08068609237670898, 'cx_gates': 76, 'num_gates': 77}","{'depth': 1.72, 'depth_ratio': 0.1244, 'time': 0.01126, 'cx_gates': 22.16, 'num_gates': 22.16}",sabre_v020_look_2_beam_10,sabre_v020,hex_127,12
"{'depth': 38, 'depth_ratio': 2.53, 'time': 0.10004496574401855, 'cx_gates': 89, 'num_gates': 90}","{'depth': 2.653, 'depth_ratio': 0.1785, 'time': 0.007788, 'cx_gates': 17.94, 'num_gates': 17.94}",sabre_v020_look_2_beam_10,sabre_v020,hex_127,13
"{'depth': 38, 'depth_ratio': 2.38, 'time': 0.0989539623260498, 'cx_gates': 72, 'num_gates': 73}","{'depth': 4.308, 'depth_ratio': 0.2674, 'time': 0.01403, 'cx_gates': 25.07, 'num_gates': 25.07}",sabre_v020_look_2_beam_10,sabre_v020,hex_127,14
"{'depth': 43, 'depth_ratio': 2.53, 'time': 0.11374807357788086, 'cx_gates': 91, 'num_gates': 92}","{'depth': 3.919, 'depth_ratio': 0.2308, 'time': 0.0029, 'cx_gates': 21.01, 'num_gates': 21.01}",sabre_v020_look_2_beam_10,sabre_v020,hex_127,15
"{'depth': 46, 'depth_ratio': 2.56, 'time': 0.1325221061706543, 'cx_gates': 122, 'num_gates': 123}","{'depth': 3.487, 'depth_ratio': 0.1947, 'time': 0.01236, 'cx_gates': 25.17, 'num_gates': 25.17}",sabre_v020_look_2_beam_10,sabre_v020,hex_127,16
"{'depth': 47, 'depth_ratio': 2.47, 'time': 0.14618277549743652, 'cx_gates': 141, 'num_gates': 142}","{'depth': 3.262, 'depth_ratio': 0.1701, 'time': 0.009231, 'cx_gates': 16.58, 'num_gates': 16.58}",sabre_v020_look_2_beam_10,sabre_v020,hex_127,17
"{'depth': 52, 'depth_ratio': 2.6, 'time': 0.14229393005371094, 'cx_gates': 136, 'num_gates': 137}","{'depth': 2.227, 'depth_ratio': 0.1114, 'time': 0.009682, 'cx_gates': 13.23, 'num_gates': 13.23}",sabre_v020_look_2_beam_10,sabre_v020,hex_127,18
"{'depth': 57, 'depth_ratio': 2.71, 'time': 0.10617375373840332, 'cx_gates': 95, 'num_gates': 96}","{'depth': 3.311, 'depth_ratio': 0.1581, 'time': 0.02188, 'cx_gates': 29.67, 'num_gates': 29.67}",sabre_v020_look_2_beam_10,sabre_v020,hex_127,19
"{'depth': 56, 'depth_ratio': 2.55, 'time': 0.15848183631896973, 'cx_gates': 177, 'num_gates': 178}","{'depth': 3.382, 'depth_ratio': 0.1507, 'time': 0.01523, 'cx_gates': 39.32, 'num_gates': 39.32}",sabre_v020_look_2_beam_10,sabre_v020,hex_127,20
"{'depth': 64, 'depth_ratio': 2.78, 'time': 0.16910409927368164, 'cx_gates': 190, 'num_gates': 191}","{'depth': 2.28, 'depth_ratio': 0.09826, 'time': 0.01678, 'cx_gates': 31.26, 'num_gates': 31.26}",sabre_v020_look_2_beam_10,sabre_v020,hex_127,21
"{'depth': 62, 'depth_ratio': 2.58, 'time': 0.16203784942626953, 'cx_gates': 143, 'num_gates': 144}","{'depth': 4.354, 'depth_ratio': 0.1818, 'time': 0.009934, 'cx_gates': 23.59, 'num_gates': 23.59}",sabre_v020_look_2_beam_10,sabre_v020,hex_127,22
"{'depth': 60, 'depth_ratio': 2.4, 'time': 0.19446706771850586, 'cx_gates': 186, 'num_gates': 187}","{'depth': 6.741, 'depth_ratio': 0.2696, 'time': 0.03371, 'cx_gates': 53.28, 'num_gates': 53.28}",sabre_v020_look_2_beam_10,sabre_v020,hex_127,23
"{'depth': 71, 'depth_ratio': 2.73, 'time': 0.21095609664916992, 'cx_gates': 253, 'num_gates': 254}","{'depth': 5.418, 'depth_ratio': 0.2097, 'time': 0.01395, 'cx_gates': 39.91, 'num_gates': 39.91}",sabre_v020_look_2_beam_10,sabre_v020,hex_127,24
"{'depth': 75, 'depth_ratio': 2.78, 'time': 0.2605719566345215, 'cx_gates': 239, 'num_gates': 240}","{'depth': 4.167, 'depth_ratio': 0.1553, 'time': 0.02306, 'cx_gates': 17.74, 'num_gates': 17.74}",sabre_v020_look_2_beam_10,sabre_v020,hex_127,25
"{'depth': 79, 'depth_ratio': 2.82, 'time': 0.20267391204833984, 'cx_gates': 219, 'num_gates': 220}","{'depth': 5.455, 'depth_ratio': 0.1952, 'time': 0.03044, 'cx_gates': 53.91, 'num_gates': 53.91}",sabre_v020_look_2_beam_10,sabre_v020,hex_127,26
"{'depth': 84, 'depth_ratio': 2.9, 'time': 0.24396395683288574, 'cx_gates': 298, 'num_gates': 299}","{'depth': 3.162, 'depth_ratio': 0.1082, 'time': 0.02171, 'cx_gates': 43.72, 'num_gates': 43.72}",sabre_v020_look_2_beam_10,sabre_v020,hex_127,27
