best_data,std_dev,routing pass,layout pass,coupling map,lookahead
"{'depth': 662, 'depth_ratio': 6.65, 'time': 0.2513899803161621, 'cx_gates': 1182, 'num_gates': 1183}","{'depth': 38.62, 'depth_ratio': 0.3862, 'time': 0.01576, 'cx_gates': 100.4, 'num_gates': 100.4}",sabre_v020,sabre_v020,hex_127,0
"{'depth': 302, 'depth_ratio': 3.02, 'time': 0.31322503089904785, 'cx_gates': 1629, 'num_gates': 1630}","{'depth': 7.632, 'depth_ratio': 0.07632, 'time': 0.01193, 'cx_gates': 214.9, 'num_gates': 214.9}",sabre_v020_look_01_beam_10,sabre_v020,hex_127,1
"{'depth': 307, 'depth_ratio': 3.07, 'time': 1.3724749088287354, 'cx_gates': 1689, 'num_gates': 1690}","{'depth': 6.974, 'depth_ratio': 0.06974, 'time': 0.1025, 'cx_gates': 204.8, 'num_gates': 204.8}",sabre_v020_look_02_beam_10,sabre_v020,hex_127,2
"{'depth': 324, 'depth_ratio': 3.24, 'time': 3.6867640018463135, 'cx_gates': 1638, 'num_gates': 1639}","{'depth': 10.6, 'depth_ratio': 0.106, 'time': 0.3836, 'cx_gates': 275.8, 'num_gates': 275.8}",sabre_v020_look_03_beam_10,sabre_v020,hex_127,3
"{'depth': 310, 'depth_ratio': 3.1, 'time': 6.532604932785034, 'cx_gates': 1701, 'num_gates': 1702}","{'depth': 24.31, 'depth_ratio': 0.2431, 'time': 0.4974, 'cx_gates': 220.8, 'num_gates': 220.8}",sabre_v020_look_04_beam_10,sabre_v020,hex_127,4
"{'depth': 324, 'depth_ratio': 3.24, 'time': 8.62171196937561, 'cx_gates': 1647, 'num_gates': 1648}","{'depth': 12.98, 'depth_ratio': 0.1298, 'time': 0.6973, 'cx_gates': 268.9, 'num_gates': 268.9}",sabre_v020_look_05_beam_10,sabre_v020,hex_127,5
"{'depth': 314, 'depth_ratio': 3.14, 'time': 10.182959079742432, 'cx_gates': 1344, 'num_gates': 1345}","{'depth': 10.4, 'depth_ratio': 0.104, 'time': 0.6928, 'cx_gates': 239.0, 'num_gates': 239.0}",sabre_v020_look_06_beam_10,sabre_v020,hex_127,6
"{'depth': 313, 'depth_ratio': 3.13, 'time': 13.064348220825195, 'cx_gates': 1524, 'num_gates': 1525}","{'depth': 11.91, 'depth_ratio': 0.1191, 'time': 0.9323, 'cx_gates': 271.9, 'num_gates': 271.9}",sabre_v020_look_07_beam_10,sabre_v020,hex_127,7
"{'depth': 313, 'depth_ratio': 3.13, 'time': 15.297799348831177, 'cx_gates': 1524, 'num_gates': 1525}","{'depth': 13.93, 'depth_ratio': 0.1393, 'time': 1.256, 'cx_gates': 292.1, 'num_gates': 292.1}",sabre_v020_look_08_beam_10,sabre_v020,hex_127,8
"{'depth': 309, 'depth_ratio': 3.09, 'time': 17.90080690383911, 'cx_gates': 1536, 'num_gates': 1537}","{'depth': 14.95, 'depth_ratio': 0.1495, 'time': 1.509, 'cx_gates': 281.7, 'num_gates': 281.7}",sabre_v020_look_09_beam_10,sabre_v020,hex_127,9
"{'depth': 313, 'depth_ratio': 3.13, 'time': 19.427043914794922, 'cx_gates': 1524, 'num_gates': 1525}","{'depth': 16.44, 'depth_ratio': 0.1644, 'time': 1.615, 'cx_gates': 269.2, 'num_gates': 269.2}",sabre_v020_look_10_beam_10,sabre_v020,hex_127,10
"{'depth': 323, 'depth_ratio': 3.23, 'time': 22.21671986579895, 'cx_gates': 1584, 'num_gates': 1585}","{'depth': 13.75, 'depth_ratio': 0.1375, 'time': 1.817, 'cx_gates': 275.4, 'num_gates': 275.4}",sabre_v020_look_11_beam_10,sabre_v020,hex_127,11
"{'depth': 320, 'depth_ratio': 3.2, 'time': 24.523106813430786, 'cx_gates': 1593, 'num_gates': 1594}","{'depth': 13.35, 'depth_ratio': 0.1335, 'time': 2.066, 'cx_gates': 301.2, 'num_gates': 301.2}",sabre_v020_look_12_beam_10,sabre_v020,hex_127,12
"{'depth': 324, 'depth_ratio': 3.24, 'time': 27.47879195213318, 'cx_gates': 1560, 'num_gates': 1561}","{'depth': 12.01, 'depth_ratio': 0.1201, 'time': 2.228, 'cx_gates': 304.2, 'num_gates': 304.2}",sabre_v020_look_13_beam_10,sabre_v020,hex_127,13
"{'depth': 324, 'depth_ratio': 3.24, 'time': 29.659663200378418, 'cx_gates': 1560, 'num_gates': 1561}","{'depth': 12.01, 'depth_ratio': 0.1201, 'time': 2.293, 'cx_gates': 304.2, 'num_gates': 304.2}",sabre_v020_look_14_beam_10,sabre_v020,hex_127,14
"{'depth': 324, 'depth_ratio': 3.24, 'time': 32.99476194381714, 'cx_gates': 1560, 'num_gates': 1561}","{'depth': 12.01, 'depth_ratio': 0.1201, 'time': 2.667, 'cx_gates': 304.2, 'num_gates': 304.2}",sabre_v020_look_15_beam_10,sabre_v020,hex_127,15
"{'depth': 307, 'depth_ratio': 3.07, 'time': 34.72263979911804, 'cx_gates': 1788, 'num_gates': 1789}","{'depth': 17.29, 'depth_ratio': 0.1729, 'time': 2.867, 'cx_gates': 344.6, 'num_gates': 344.6}",sabre_v020_look_16_beam_10,sabre_v020,hex_127,16
"{'depth': 307, 'depth_ratio': 3.07, 'time': 37.35849189758301, 'cx_gates': 1788, 'num_gates': 1789}","{'depth': 17.29, 'depth_ratio': 0.1729, 'time': 3.024, 'cx_gates': 344.6, 'num_gates': 344.6}",sabre_v020_look_17_beam_10,sabre_v020,hex_127,17
"{'depth': 307, 'depth_ratio': 3.07, 'time': 39.83666682243347, 'cx_gates': 1788, 'num_gates': 1789}","{'depth': 17.1, 'depth_ratio': 0.171, 'time': 3.642, 'cx_gates': 332.1, 'num_gates': 332.1}",sabre_v020_look_18_beam_10,sabre_v020,hex_127,18
"{'depth': 307, 'depth_ratio': 3.07, 'time': 42.062735080718994, 'cx_gates': 1788, 'num_gates': 1789}","{'depth': 17.1, 'depth_ratio': 0.171, 'time': 3.654, 'cx_gates': 332.1, 'num_gates': 332.1}",sabre_v020_look_19_beam_10,sabre_v020,hex_127,19
"{'depth': 307, 'depth_ratio': 3.07, 'time': 45.48285698890686, 'cx_gates': 1788, 'num_gates': 1789}","{'depth': 17.1, 'depth_ratio': 0.171, 'time': 3.916, 'cx_gates': 332.1, 'num_gates': 332.1}",sabre_v020_look_20_beam_10,sabre_v020,hex_127,20
"{'depth': 307, 'depth_ratio': 3.07, 'time': 47.815489768981934, 'cx_gates': 1788, 'num_gates': 1789}","{'depth': 17.1, 'depth_ratio': 0.171, 'time': 4.065, 'cx_gates': 332.1, 'num_gates': 332.1}",sabre_v020_look_21_beam_10,sabre_v020,hex_127,21
"{'depth': 307, 'depth_ratio': 3.07, 'time': 51.27760100364685, 'cx_gates': 1788, 'num_gates': 1789}","{'depth': 17.1, 'depth_ratio': 0.171, 'time': 4.249, 'cx_gates': 332.1, 'num_gates': 332.1}",sabre_v020_look_22_beam_10,sabre_v020,hex_127,22
"{'depth': 307, 'depth_ratio': 3.07, 'time': 53.36668801307678, 'cx_gates': 1788, 'num_gates': 1789}","{'depth': 16.88, 'depth_ratio': 0.1688, 'time': 4.491, 'cx_gates': 328.8, 'num_gates': 328.8}",sabre_v020_look_23_beam_10,sabre_v020,hex_127,23
