best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 19, 'depth_ratio': 1.9, 'time': 0.5975391864776611, 'cx_gates': 24, 'num_gates': 25}","{'depth': 1.855, 'depth_ratio': 0.1855, 'time': 0.06169, 'cx_gates': 6.406, 'num_gates': 6.406}",sabre_v020_look_5_beam_20,sabre_v020,hex_127,0
"{'depth': 52, 'depth_ratio': 2.6, 'time': 1.7252781391143799, 'cx_gates': 94, 'num_gates': 95}","{'depth': 4.317, 'depth_ratio': 0.2159, 'time': 0.2243, 'cx_gates': 18.0, 'num_gates': 18.0}",sabre_v020_look_5_beam_20,sabre_v020,hex_127,1
"{'depth': 82, 'depth_ratio': 2.73, 'time': 2.884018898010254, 'cx_gates': 140, 'num_gates': 141}","{'depth': 7.348, 'depth_ratio': 0.2452, 'time': 0.3496, 'cx_gates': 55.75, 'num_gates': 55.75}",sabre_v020_look_5_beam_20,sabre_v020,hex_127,2
"{'depth': 118, 'depth_ratio': 2.95, 'time': 5.125025033950806, 'cx_gates': 261, 'num_gates': 262}","{'depth': 3.655, 'depth_ratio': 0.08922, 'time': 0.3369, 'cx_gates': 77.37, 'num_gates': 77.37}",sabre_v020_look_5_beam_20,sabre_v020,hex_127,3
"{'depth': 146, 'depth_ratio': 2.92, 'time': 7.819177150726318, 'cx_gates': 574, 'num_gates': 575}","{'depth': 8.295, 'depth_ratio': 0.1659, 'time': 0.3395, 'cx_gates': 64.05, 'num_gates': 64.05}",sabre_v020_look_5_beam_20,sabre_v020,hex_127,4
"{'depth': 187, 'depth_ratio': 3.12, 'time': 9.467641830444336, 'cx_gates': 602, 'num_gates': 603}","{'depth': 4.587, 'depth_ratio': 0.07521, 'time': 0.2363, 'cx_gates': 25.2, 'num_gates': 25.2}",sabre_v020_look_5_beam_20,sabre_v020,hex_127,5
"{'depth': 214, 'depth_ratio': 3.06, 'time': 12.334138870239258, 'cx_gates': 819, 'num_gates': 820}","{'depth': 5.044, 'depth_ratio': 0.07172, 'time': 0.592, 'cx_gates': 72.27, 'num_gates': 72.27}",sabre_v020_look_5_beam_20,sabre_v020,hex_127,6
"{'depth': 246, 'depth_ratio': 3.08, 'time': 15.072228908538818, 'cx_gates': 1345, 'num_gates': 1346}","{'depth': 11.82, 'depth_ratio': 0.146, 'time': 1.575, 'cx_gates': 257.3, 'num_gates': 257.3}",sabre_v020_look_5_beam_20,sabre_v020,hex_127,7
"{'depth': 273, 'depth_ratio': 3.03, 'time': 18.287886142730713, 'cx_gates': 1124, 'num_gates': 1125}","{'depth': 13.46, 'depth_ratio': 0.1512, 'time': 0.6964, 'cx_gates': 64.35, 'num_gates': 64.35}",sabre_v020_look_5_beam_20,sabre_v020,hex_127,8
"{'depth': 308, 'depth_ratio': 3.08, 'time': 20.285825967788696, 'cx_gates': 1563, 'num_gates': 1564}","{'depth': 15.21, 'depth_ratio': 0.1521, 'time': 2.641, 'cx_gates': 384.2, 'num_gates': 384.2}",sabre_v020_look_5_beam_20,sabre_v020,hex_127,9
