depth,cx gates,time,depth_std,cx_std,time_std,look,beam,crit,rp,lp,num_iter
768,2469,1.7357780933380127,218.6,50.71,0.1411,0,5,1,sabre_025_extended,sabre_layout,1
831,2472,2.225537061691284,122.8,92.04,0.3003,0,5,1,sabre_025_extended,sabre_layout,1
858,2466,2.10139799118042,110.3,108.9,0.2474,0,5,1,sabre_025_extended,sabre_layout,1
762,2418,1.5838758945465088,155.9,63.69,0.1949,0,5,1,sabre_025_extended,sabre_layout,1
777,2328,2.0755279064178467,143.1,92.37,0.1539,0,5,1,sabre_025_extended,sabre_layout,1
741,2445,1.6241638660430908,171.1,41.92,0.5074,0,5,1,sabre_025_extended,sabre_layout,1
1038,2556,2.2286057472229004,34.24,105.5,0.2231,0,5,1,sabre_025_extended,sabre_layout,1
771,2388,1.9290180206298828,190.1,48.25,0.1199,0,5,1,sabre_025_extended,sabre_layout,1
897,2709,1.8395559787750244,181.8,76.88,0.1757,0,5,1,sabre_025_extended,sabre_layout,1
891,2769,2.4005370140075684,188.1,117.3,0.1938,0,5,1,sabre_025_extended,sabre_layout,1
852,2700,2.2024929523468018,175.7,55.49,0.114,0,5,1,sabre_025_extended,sabre_layout,1
906,2766,2.0591609477996826,170.7,59.02,0.2505,0,5,1,sabre_025_extended,sabre_layout,1
888,2763,2.1989870071411133,184.6,90.27,0.1308,0,5,1,sabre_025_extended,sabre_layout,1
885,2739,2.0701088905334473,205.8,185.8,0.1943,0,5,1,sabre_025_extended,sabre_layout,1
834,2655,2.3969249725341797,182.2,45.55,0.2063,0,5,1,sabre_025_extended,sabre_layout,1
1191,2745,2.484365224838257,40.49,119.8,0.2833,0,5,1,sabre_025_extended,sabre_layout,1
810,2763,1.93858003616333,196.6,87.94,0.2582,0,5,1,sabre_025_extended,sabre_layout,1
957,2862,2.133039951324463,161.4,79.78,0.1198,0,5,1,sabre_025_extended,sabre_layout,1
1008,3081,2.929098129272461,192.6,55.17,0.4684,0,5,1,sabre_025_extended,sabre_layout,1
933,3120,2.180077075958252,246.6,135.6,0.556,0,5,1,sabre_025_extended,sabre_layout,1
966,3063,2.552402973175049,198.1,38.21,0.2595,0,5,1,sabre_025_extended,sabre_layout,1
939,2931,2.693502902984619,233.6,59.47,0.3098,0,5,1,sabre_025_extended,sabre_layout,1
960,3060,2.073612928390503,21.04,32.45,0.357,0,5,1,sabre_025_extended,sabre_layout,1
1017,3132,2.1497552394866943,222.8,84.49,0.2338,0,5,1,sabre_025_extended,sabre_layout,1
999,3087,2.9365029335021973,237.1,122.3,0.3647,0,5,1,sabre_025_extended,sabre_layout,1
981,3081,2.259899854660034,232.8,118.9,0.2538,0,5,1,sabre_025_extended,sabre_layout,1
