depth,cx gates,time,depth_std,cx_std,time_std,look,beam,crit,rp,lp,num_iter
789,2661,2.548572063446045,154.6,114.2,0.312,0,5,1,sabre_025,sabre_layout,1
822,2694,2.330134153366089,189.2,110.0,0.2895,0,5,1,sabre_025,sabre_layout,1
831,2703,1.7707228660583496,23.72,30.91,0.22,0,5,1,sabre_025,sabre_layout,1
819,2721,1.9359321594238281,14.31,44.72,0.3393,0,5,1,sabre_025,sabre_layout,1
912,3072,2.322113037109375,38.36,42.35,0.1823,0,5,1,sabre_025,sabre_layout,1
957,3123,2.0052490234375,249.7,169.2,0.1748,0,5,1,sabre_025,sabre_layout,1
924,2871,2.073817729949951,18.06,92.96,0.2102,0,5,1,sabre_025,sabre_layout,1
957,3066,2.4135050773620605,13.16,11.3,0.1839,0,5,1,sabre_025,sabre_layout,1
918,3012,2.690786123275757,42.97,70.72,0.2404,0,5,1,sabre_025,sabre_layout,1
951,3054,2.584266185760498,222.5,59.36,0.2655,0,5,1,sabre_025,sabre_layout,1
942,3060,2.5303940773010254,213.0,148.3,0.2298,0,5,1,sabre_025,sabre_layout,1
948,3021,2.325838804244995,223.1,74.31,0.3107,0,5,1,sabre_025,sabre_layout,1
957,3078,1.888484001159668,198.7,108.2,0.2016,0,5,1,sabre_025,sabre_layout,1
960,3069,2.1431000232696533,22.75,30.59,0.2655,0,5,1,sabre_025,sabre_layout,1
1065,3432,2.8297979831695557,7.758,29.19,0.3388,0,5,1,sabre_025,sabre_layout,1
1089,3525,3.066545009613037,25.89,31.25,0.5849,0,5,1,sabre_025,sabre_layout,1
1071,3510,2.6346988677978516,18.54,50.44,0.2772,0,5,1,sabre_025,sabre_layout,1
1050,3396,2.7746481895446777,40.72,60.63,0.3234,0,5,1,sabre_025,sabre_layout,1
1086,3432,2.13381290435791,19.02,37.91,0.2551,0,5,1,sabre_025,sabre_layout,1
1095,3561,2.6859939098358154,225.7,192.8,0.2055,0,5,1,sabre_025,sabre_layout,1
1041,3357,2.173117160797119,268.3,217.8,0.5159,0,5,1,sabre_025,sabre_layout,1
1080,3381,2.1754837036132812,17.81,48.39,0.4594,0,5,1,sabre_025,sabre_layout,1
1101,3351,2.729694128036499,27.04,92.82,0.2782,0,5,1,sabre_025,sabre_layout,1
1083,3501,2.1246659755706787,21.46,30.48,0.3719,0,5,1,sabre_025,sabre_layout,1
1182,3693,2.314027786254883,270.4,180.7,0.1972,0,5,1,sabre_025,sabre_layout,1
1182,3879,3.0073511600494385,46.4,56.4,0.2464,0,5,1,sabre_025,sabre_layout,1
1194,3906,3.276610851287842,264.2,217.5,0.3498,0,5,1,sabre_025,sabre_layout,1
1185,3801,2.481113910675049,41.05,64.39,0.2669,0,5,1,sabre_025,sabre_layout,1
1233,4008,2.5338218212127686,240.6,69.41,0.463,0,5,1,sabre_025,sabre_layout,1
1212,3789,3.3727660179138184,285.5,71.07,0.4793,0,5,1,sabre_025,sabre_layout,1
1236,3975,3.224583148956299,266.0,35.69,0.3671,0,5,1,sabre_025,sabre_layout,1
1197,3813,3.230794906616211,5.761,29.95,0.3701,0,5,1,sabre_025,sabre_layout,1
1194,3897,3.307910919189453,15.06,49.14,0.437,0,5,1,sabre_025,sabre_layout,1
1182,3921,2.306259870529175,24.95,17.54,0.2351,0,5,1,sabre_025,sabre_layout,1
