best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 940, 'depth_ratio': 31.33, 'time': 2.058525323867798, 'cx_gates': 2697, 'num_gates': 5097}","{'depth': 25.6, 'depth_ratio': 0.8533, 'time': 0.67, 'cx_gates': 54.62, 'num_gates': 54.62}",sabre_v0.25,sabre_0.25,heavy_hex_27,0
"{'depth': 1011, 'depth_ratio': 32.61, 'time': 2.2891759872436523, 'cx_gates': 2943, 'num_gates': 5423}","{'depth': 47.79, 'depth_ratio': 1.542, 'time': 0.7526, 'cx_gates': 48.04, 'num_gates': 48.04}",sabre_v0.25,sabre_0.25,heavy_hex_27,1
"{'depth': 1069, 'depth_ratio': 33.41, 'time': 0.4229598045349121, 'cx_gates': 2943, 'num_gates': 5503}","{'depth': 57.54, 'depth_ratio': 1.797, 'time': 0.006427, 'cx_gates': 45.63, 'num_gates': 45.63}",sabre_v0.25,sabre_0.25,heavy_hex_27,2
"{'depth': 1120, 'depth_ratio': 33.94, 'time': 0.4155619144439697, 'cx_gates': 2976, 'num_gates': 5616}","{'depth': 43.96, 'depth_ratio': 1.333, 'time': 0.006495, 'cx_gates': 59.86, 'num_gates': 59.86}",sabre_v0.25,sabre_0.25,heavy_hex_27,3
"{'depth': 1115, 'depth_ratio': 32.79, 'time': 0.42965197563171387, 'cx_gates': 3189, 'num_gates': 5909}","{'depth': 30.02, 'depth_ratio': 0.8849, 'time': 0.001774, 'cx_gates': 34.42, 'num_gates': 34.42}",sabre_v0.25,sabre_0.25,heavy_hex_27,4
"{'depth': 1122, 'depth_ratio': 32.06, 'time': 0.4520609378814697, 'cx_gates': 3324, 'num_gates': 6124}","{'depth': 46.6, 'depth_ratio': 1.331, 'time': 0.6519, 'cx_gates': 58.04, 'num_gates': 58.04}",sabre_v0.25,sabre_0.25,heavy_hex_27,5
"{'depth': 1158, 'depth_ratio': 32.17, 'time': 0.44657421112060547, 'cx_gates': 3372, 'num_gates': 6252}","{'depth': 58.01, 'depth_ratio': 1.61, 'time': 1.132, 'cx_gates': 24.34, 'num_gates': 24.34}",sabre_v0.25,sabre_0.25,heavy_hex_27,6
"{'depth': 1206, 'depth_ratio': 32.59, 'time': 0.46569180488586426, 'cx_gates': 3348, 'num_gates': 6308}","{'depth': 28.46, 'depth_ratio': 0.7691, 'time': 0.642, 'cx_gates': 82.83, 'num_gates': 82.83}",sabre_v0.25,sabre_0.25,heavy_hex_27,7
"{'depth': 1265, 'depth_ratio': 33.29, 'time': 0.46285009384155273, 'cx_gates': 3522, 'num_gates': 6562}","{'depth': 30.77, 'depth_ratio': 0.8096, 'time': 0.8938, 'cx_gates': 40.37, 'num_gates': 40.37}",sabre_v0.25,sabre_0.25,heavy_hex_27,8
"{'depth': 1333, 'depth_ratio': 34.18, 'time': 0.48367810249328613, 'cx_gates': 3687, 'num_gates': 6807}","{'depth': 14.89, 'depth_ratio': 0.3815, 'time': 0.6445, 'cx_gates': 37.26, 'num_gates': 37.26}",sabre_v0.25,sabre_0.25,heavy_hex_27,9
"{'depth': 1303, 'depth_ratio': 32.58, 'time': 0.5133202075958252, 'cx_gates': 3774, 'num_gates': 6974}","{'depth': 72.93, 'depth_ratio': 1.821, 'time': 0.009121, 'cx_gates': 31.46, 'num_gates': 31.46}",sabre_v0.25,sabre_0.25,heavy_hex_27,10
"{'depth': 1375, 'depth_ratio': 33.54, 'time': 0.5064291954040527, 'cx_gates': 3702, 'num_gates': 6982}","{'depth': 28.56, 'depth_ratio': 0.696, 'time': 0.6544, 'cx_gates': 80.38, 'num_gates': 80.38}",sabre_v0.25,sabre_0.25,heavy_hex_27,11
"{'depth': 1396, 'depth_ratio': 33.24, 'time': 0.524472713470459, 'cx_gates': 3906, 'num_gates': 7266}","{'depth': 58.48, 'depth_ratio': 1.39, 'time': 0.6309, 'cx_gates': 43.95, 'num_gates': 43.95}",sabre_v0.25,sabre_0.25,heavy_hex_27,12
"{'depth': 1346, 'depth_ratio': 31.3, 'time': 0.546177864074707, 'cx_gates': 4026, 'num_gates': 7466}","{'depth': 60.0, 'depth_ratio': 1.396, 'time': 0.6676, 'cx_gates': 42.23, 'num_gates': 42.23}",sabre_v0.25,sabre_0.25,heavy_hex_27,13
"{'depth': 1459, 'depth_ratio': 33.16, 'time': 0.5541739463806152, 'cx_gates': 3996, 'num_gates': 7516}","{'depth': 26.36, 'depth_ratio': 0.5984, 'time': 0.9318, 'cx_gates': 74.3, 'num_gates': 74.3}",sabre_v0.25,sabre_0.25,heavy_hex_27,14
"{'depth': 1526, 'depth_ratio': 33.91, 'time': 0.5657169818878174, 'cx_gates': 4227, 'num_gates': 7827}","{'depth': 46.83, 'depth_ratio': 1.041, 'time': 0.006042, 'cx_gates': 55.45, 'num_gates': 55.45}",sabre_v0.25,sabre_0.25,heavy_hex_27,15
"{'depth': 1483, 'depth_ratio': 32.24, 'time': 0.5773980617523193, 'cx_gates': 4242, 'num_gates': 7922}","{'depth': 61.61, 'depth_ratio': 1.34, 'time': 0.7899, 'cx_gates': 44.25, 'num_gates': 44.25}",sabre_v0.25,sabre_0.25,heavy_hex_27,16
"{'depth': 1576, 'depth_ratio': 33.53, 'time': 0.6020510196685791, 'cx_gates': 4359, 'num_gates': 8119}","{'depth': 44.67, 'depth_ratio': 0.9518, 'time': 0.6768, 'cx_gates': 67.28, 'num_gates': 67.28}",sabre_v0.25,sabre_0.25,heavy_hex_27,17
"{'depth': 1616, 'depth_ratio': 33.67, 'time': 0.6127610206604004, 'cx_gates': 4485, 'num_gates': 8325}","{'depth': 56.63, 'depth_ratio': 1.18, 'time': 0.8183, 'cx_gates': 46.19, 'num_gates': 46.19}",sabre_v0.25,sabre_0.25,heavy_hex_27,18
"{'depth': 1647, 'depth_ratio': 33.61, 'time': 0.6142768859863281, 'cx_gates': 4707, 'num_gates': 8627}","{'depth': 57.01, 'depth_ratio': 1.163, 'time': 0.6697, 'cx_gates': 76.46, 'num_gates': 76.46}",sabre_v0.25,sabre_0.25,heavy_hex_27,19
"{'depth': 1631, 'depth_ratio': 32.62, 'time': 0.6489889621734619, 'cx_gates': 4692, 'num_gates': 8692}","{'depth': 66.02, 'depth_ratio': 1.32, 'time': 0.7805, 'cx_gates': 62.74, 'num_gates': 62.74}",sabre_v0.25,sabre_0.25,heavy_hex_27,20
"{'depth': 1738, 'depth_ratio': 34.08, 'time': 0.6529967784881592, 'cx_gates': 4839, 'num_gates': 8919}","{'depth': 25.53, 'depth_ratio': 0.4987, 'time': 0.9303, 'cx_gates': 18.69, 'num_gates': 18.69}",sabre_v0.25,sabre_0.25,heavy_hex_27,21
"{'depth': 1671, 'depth_ratio': 32.13, 'time': 0.6476302146911621, 'cx_gates': 4821, 'num_gates': 8981}","{'depth': 67.7, 'depth_ratio': 1.303, 'time': 0.6814, 'cx_gates': 82.08, 'num_gates': 82.08}",sabre_v0.25,sabre_0.25,heavy_hex_27,22
"{'depth': 1831, 'depth_ratio': 34.55, 'time': 0.6609227657318115, 'cx_gates': 5121, 'num_gates': 9361}","{'depth': 24.01, 'depth_ratio': 0.4528, 'time': 0.7903, 'cx_gates': 44.76, 'num_gates': 44.76}",sabre_v0.25,sabre_0.25,heavy_hex_27,23
