depth,cx gates,time,depth_std,cx_std,time_std,look,beam,crit,rp,lp,num_iter
154,244,0.11260986328125,12.79,27.61,0.002265,0,5,1.9,sabre_025_crit,sabre_layout,1
125,219,0.13318872451782227,13.91,20.83,0.02266,0,5,1.9,sabre_025_crit,sabre_layout,1
72,75,0.06670594215393066,7.12,5.408,0.002191,0,5,1.9,sabre_025_crit,sabre_layout,1
275,719,0.35559892654418945,22.5,30.7,0.02236,0,5,1.9,sabre_025_crit,sabre_layout,1
170,267,0.18515467643737793,20.9,37.53,0.01604,0,5,1.9,sabre_025_crit,sabre_layout,1
137,437,0.276669979095459,26.32,25.66,0.02648,0,5,1.9,sabre_025_crit,sabre_layout,1
171,339,0.16887116432189941,15.11,11.3,0.01635,0,5,1.9,sabre_025_crit,sabre_layout,1
38,30,0.04341578483581543,0.0,0.0,0.0007912,0,5,1.9,sabre_025_crit,sabre_layout,1
249,582,0.45694708824157715,18.07,24.09,0.02136,0,5,1.9,sabre_025_crit,sabre_layout,1
208,334,0.5880558490753174,1.732,5.356,0.07807,0,5,1.9,sabre_025_crit,sabre_layout,1
72,112,0.0986781120300293,14.86,15.59,0.008409,0,5,1.9,sabre_025_crit,sabre_layout,1
499,867,0.47046589851379395,17.74,39.93,0.02222,0,5,1.9,sabre_025_crit,sabre_layout,1
586,783,0.38309216499328613,40.59,74.31,0.01458,0,5,1.9,sabre_025_crit,sabre_layout,1
281,406,0.19920587539672852,22.43,25.75,0.02056,0,5,1.9,sabre_025_crit,sabre_layout,1
110,217,0.1828458309173584,32.32,45.17,0.01126,0,5,1.9,sabre_025_crit,sabre_layout,1
32,46,0.047968149185180664,7.794,7.794,0.002225,0,5,1.9,sabre_025_crit,sabre_layout,1
291,890,0.5223708152770996,19.11,64.74,0.04689,0,5,1.9,sabre_025_crit,sabre_layout,1
288,486,1.2430949211120605,2.0,7.758,0.04597,0,5,1.9,sabre_025_crit,sabre_layout,1
331,577,0.20177793502807617,30.24,28.02,0.02825,0,5,1.9,sabre_025_crit,sabre_layout,1
20,90,0.17522311210632324,22.69,19.09,0.02823,0,5,1.9,sabre_025_crit,sabre_layout,1
600,1482,0.8786149024963379,43.28,139.1,0.1008,0,5,1.9,sabre_025_crit,sabre_layout,1
217,409,0.2610049247741699,11.73,31.25,0.0162,0,5,1.9,sabre_025_crit,sabre_layout,1
66,70,0.05628085136413574,10.52,13.81,0.002172,0,5,1.9,sabre_025_crit,sabre_layout,1
572,1514,2.671072006225586,61.37,150.2,0.1397,0,5,1.9,sabre_025_crit,sabre_layout,1
439,674,0.2489640712738037,27.14,87.71,0.01313,0,5,1.9,sabre_025_crit,sabre_layout,1
222,251,0.2952439785003662,16.15,37.13,0.00388,0,5,1.9,sabre_025_crit,sabre_layout,1
69,87,0.1152498722076416,8.617,14.23,0.01858,0,5,1.9,sabre_025_crit,sabre_layout,1
911,1569,0.5176689624786377,17.2,65.97,0.01861,0,5,1.9,sabre_025_crit,sabre_layout,1
1070,3152,15.165457963943481,132.8,369.2,1.212,0,5,1.9,sabre_025_crit,sabre_layout,1
365,1074,0.6392579078674316,30.85,49.04,0.008177,0,5,1.9,sabre_025_crit,sabre_layout,1
87,88,0.06975483894348145,0.0,0.0,0.0207,0,5,1.9,sabre_025_crit,sabre_layout,1
577,924,0.5023243427276611,63.03,148.7,0.03721,0,5,1.9,sabre_025_crit,sabre_layout,1
42,42,0.06932806968688965,0.0,0.0,0.0007282,0,5,1.9,sabre_025_crit,sabre_layout,1
69,252,0.3327932357788086,27.77,8.318,0.02367,0,5,1.9,sabre_025_crit,sabre_layout,1
527,703,0.9857351779937744,14.01,22.2,0.02764,0,5,1.9,sabre_025_crit,sabre_layout,1
2341,4150,2.7895119190216064,80.69,129.3,0.04688,0,5,1.9,sabre_025_crit,sabre_layout,1
1117,2100,0.9738538265228271,70.26,176.3,0.01427,0,5,1.9,sabre_025_crit,sabre_layout,1
5812,11118,18.99907422065735,90.71,503.1,0.978,0,5,1.9,sabre_025_crit,sabre_layout,1
291,343,0.23223209381103516,11.72,7.462,0.02682,0,5,1.9,sabre_025_crit,sabre_layout,1
