depth,cx gates,time,depth_std,cx_std,time_std,look,beam,crit,rp,lp,num_iter
0,0,0.024762868881225586,0.0,0.0,0.01251,0,5,2,sabre_025_crit,sabre_layout,1
23,34,0.04583311080932617,0.0,0.0,0.0002188,0,5,2,sabre_025_crit,sabre_layout,1
0,0,0.02563619613647461,0.0,0.0,0.0004535,0,5,2,sabre_025_crit,sabre_layout,1
14,14,0.031555891036987305,1.479,3.354,0.01626,0,5,2,sabre_025_crit,sabre_layout,1
3,3,0.024518966674804688,2.121,3.0,0.000447,0,5,2,sabre_025_crit,sabre_layout,1
1,1,0.023387670516967773,0.0,0.0,0.0007565,0,5,2,sabre_025_crit,sabre_layout,1
2,2,0.025948762893676758,0.0,0.0,0.0003856,0,5,2,sabre_025_crit,sabre_layout,1
15,15,0.03233599662780762,2.487,2.487,0.0009687,0,5,2,sabre_025_crit,sabre_layout,1
2,6,0.07020711898803711,0.0,0.0,0.01605,0,5,2,sabre_025_crit,sabre_layout,1
7,4,0.027008056640625,3.0,3.897,0.001096,0,5,2,sabre_025_crit,sabre_layout,1
0,0,0.03272294998168945,0.0,0.0,0.0008267,0,5,2,sabre_025_crit,sabre_layout,1
2,2,0.024815082550048828,0.0,0.0,0.01636,0,5,2,sabre_025_crit,sabre_layout,1
2,2,0.024584054946899414,0.0,0.0,0.0004782,0,5,2,sabre_025_crit,sabre_layout,1
84,84,0.05145406723022461,0.0,0.0,0.0007155,0,5,2,sabre_025_crit,sabre_layout,1
78,139,0.0897359848022461,17.76,22.6,0.004887,0,5,2,sabre_025_crit,sabre_layout,1
3,3,0.025474071502685547,0.0,0.0,0.0006788,0,5,2,sabre_025_crit,sabre_layout,1
18,18,0.033762216567993164,2.773,4.5,0.0008411,0,5,2,sabre_025_crit,sabre_layout,1
10,10,0.03376317024230957,1.299,1.299,0.0007081,0,5,2,sabre_025_crit,sabre_layout,1
32,32,0.04116201400756836,2.487,2.121,0.01622,0,5,2,sabre_025_crit,sabre_layout,1
3,2,0.025693893432617188,0.0,0.0,0.0004316,0,5,2,sabre_025_crit,sabre_layout,1
2,4,0.03039383888244629,0.0,0.0,0.0004279,0,5,2,sabre_025_crit,sabre_layout,1
86,101,0.05356597900390625,12.66,24.59,0.0153,0,5,2,sabre_025_crit,sabre_layout,1
24,27,0.036299943923950195,4.123,3.674,0.001282,0,5,2,sabre_025_crit,sabre_layout,1
10,16,0.03126692771911621,2.165,1.299,0.0004991,0,5,2,sabre_025_crit,sabre_layout,1
2,2,0.026008129119873047,0.0,0.0,0.0003762,0,5,2,sabre_025_crit,sabre_layout,1
3,0,0.02567911148071289,0.0,0.0,0.01531,0,5,2,sabre_025_crit,sabre_layout,1
9,9,0.027350902557373047,1.299,1.299,0.0003052,0,5,2,sabre_025_crit,sabre_layout,1
