,depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
99,189,1143,0.23395586013793945,4.206,22.95,0.01516,0,1,basic
100,416,2704,0.5525979995727539,28.43,69.31,0.01423,0,1,basic
101,361,2368,0.5613880157470703,43.54,120.8,0.01155,0,1,basic
102,197,1251,0.24621009826660156,12.44,87.04,0.01721,0,1,basic
103,261,1596,0.3706696033477783,11.12,24.46,0.006299,0,1,basic
104,150,915,0.21995806694030762,8.786,80.23,0.01804,0,1,basic
105,39,153,0.06719207763671875,3.0,28.96,0.003035,0,1,basic
106,298,1935,0.4255549907684326,50.29,189.5,0.008578,0,1,basic
107,300,1974,0.48610377311706543,53.99,237.3,0.0153,0,1,basic
108,202,1380,0.2872581481933594,27.59,70.5,0.004338,0,1,basic
109,133,828,0.21373891830444336,20.61,50.44,0.01124,0,1,basic
110,67,498,0.12871599197387695,17.68,28.97,0.01346,0,1,basic
111,32,189,0.07168936729431152,3.631,12.19,0.01387,0,1,basic
112,28,174,0.07486176490783691,8.378,11.3,0.01217,0,1,basic
113,141,783,0.1810927391052246,26.8,82.81,0.01858,0,1,basic
114,256,1680,0.3760960102081299,24.59,141.5,0.02195,0,1,basic
115,248,1566,0.33601903915405273,29.69,27.29,0.01092,0,1,basic
116,321,1890,0.42229700088500977,20.0,97.93,0.005866,0,1,basic
117,148,1083,0.2534189224243164,23.29,58.07,0.01426,0,1,basic
118,471,2857,0.5467231273651123,23.45,94.35,0.02134,0,1,basic
119,89,477,0.17264103889465332,15.19,90.47,0.01591,0,1,basic
120,197,1350,0.3171067237854004,58.8,107.2,0.005607,0,1,basic
121,398,2682,0.49284982681274414,19.68,61.61,0.00659,0,1,basic
122,326,2178,0.4347341060638428,20.77,86.49,0.001212,0,1,basic
123,376,2452,0.5366799831390381,41.41,109.3,0.02584,0,1,basic
124,403,2797,0.5623528957366943,42.47,80.23,0.01706,0,1,basic
125,330,2094,0.45451998710632324,26.87,119.1,0.007287,0,1,basic
126,359,2316,0.48300814628601074,26.2,108.6,0.005827,0,1,basic
127,213,1488,0.3367459774017334,25.02,46.18,0.01099,0,1,basic
128,62,456,0.13534998893737793,7.81,33.16,0.01456,0,1,basic
129,346,2455,0.5253231525421143,55.2,135.3,0.03602,0,1,basic
130,340,2232,0.44262075424194336,23.09,64.18,0.01643,0,1,basic
131,202,1137,0.2989799976348877,16.52,116.6,0.01499,0,1,basic
132,317,1680,0.36133694648742676,17.76,134.0,0.02282,0,1,basic
133,224,1407,0.3293581008911133,19.83,82.06,0.01829,0,1,basic
134,159,1068,0.21537089347839355,1.09,98.69,0.01163,0,1,basic
135,24,168,0.07806682586669922,9.247,15.35,0.002595,0,1,basic
136,356,2536,0.5134057998657227,48.59,18.55,0.02054,0,1,basic
137,160,1197,0.28342294692993164,22.52,32.1,0.02185,0,1,basic
138,335,2142,0.5259997844696045,42.92,71.31,0.02196,0,1,basic
139,283,1710,0.3849308490753174,23.94,102.8,0.01661,0,1,basic
140,119,756,0.20514297485351562,18.39,77.94,0.01418,0,1,basic
141,22,96,0.09868502616882324,4.265,24.65,0.009669,0,1,basic
142,197,1086,0.27951788902282715,13.06,86.33,0.01561,0,1,basic
143,270,1989,0.4369850158691406,70.9,205.4,0.006857,0,1,basic
144,357,2109,0.506906270980835,68.27,322.0,0.002369,0,1,basic
145,218,1446,0.2949390411376953,20.77,80.34,0.01463,0,1,basic
146,221,1464,0.38764476776123047,29.21,152.7,0.01152,0,1,basic
147,75,534,0.13201689720153809,7.327,14.45,0.01256,0,1,basic
148,70,474,0.11726093292236328,20.77,50.78,0.01539,0,1,basic
149,198,1320,0.3521239757537842,48.22,235.5,0.009303,0,1,basic
150,247,1578,0.3883347511291504,22.57,69.99,0.004318,0,1,basic
151,379,2343,0.49059295654296875,29.1,81.66,0.01622,0,1,basic
152,175,1053,0.28206610679626465,16.48,73.88,0.02651,0,1,basic
153,248,1620,0.4536759853363037,31.88,167.9,0.00937,0,1,basic
154,24,165,0.11731982231140137,5.612,22.75,0.01924,0,1,basic
155,114,693,0.1793820858001709,18.2,73.28,0.02619,0,1,basic
156,255,1680,0.35494399070739746,36.83,114.5,0.01601,0,1,basic
157,453,2460,0.47104883193969727,11.65,222.9,0.01176,0,1,basic
158,136,888,0.21596217155456543,36.77,134.8,0.02213,0,1,basic
159,446,2491,0.5338358879089355,20.08,91.32,0.01545,0,1,basic
160,319,2169,0.4570648670196533,39.06,160.1,0.01684,0,1,basic
161,373,2301,0.4715120792388916,15.24,82.28,0.01138,0,1,basic
162,235,1410,0.3025238513946533,21.3,73.04,0.01316,0,1,basic
163,86,495,0.14821195602416992,13.66,23.53,0.01565,0,1,basic
164,444,2533,0.5205831527709961,47.45,237.9,0.01056,0,1,basic
165,168,945,0.249953031539917,33.34,127.4,0.005062,0,1,basic
166,220,1344,0.34412503242492676,54.83,191.8,0.01146,0,1,basic
167,108,606,0.2003340721130371,36.71,123.9,0.007953,0,1,basic
168,30,210,0.07538485527038574,7.758,27.04,0.009834,0,1,basic
169,102,543,0.12906289100646973,8.526,41.27,0.01366,0,1,basic
170,37,261,0.10534214973449707,4.815,13.14,0.01503,0,1,basic
171,79,567,0.14861297607421875,15.98,54.76,0.01274,0,1,basic
172,111,843,0.2305762767791748,16.04,57.68,0.0199,0,1,basic
173,285,1761,0.3329887390136719,19.69,86.65,0.02189,0,1,basic
174,151,1092,0.2811620235443115,37.03,120.5,0.02442,0,1,basic
175,367,2311,0.5509421825408936,72.18,250.0,0.02317,0,1,basic
176,117,534,0.14632034301757812,6.225,56.5,0.009969,0,1,basic
177,246,1404,0.3300590515136719,26.41,119.2,0.004486,0,1,basic
178,391,2592,0.4870462417602539,32.58,192.8,0.02024,0,1,basic
179,275,1791,0.42661404609680176,30.09,121.2,0.005094,0,1,basic
