,depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
151,435,1935,1.9740321636199951,53.16,172.8,0.1232,0,1,lookahead
152,188,978,1.2976138591766357,32.71,85.18,0.04132,0,1,lookahead
153,323,1884,1.708556890487671,38.76,94.73,0.1046,0,1,lookahead
154,28,147,0.35444021224975586,8.7,30.7,0.01176,0,1,lookahead
155,128,648,0.9572732448577881,8.408,28.18,0.0111,0,1,lookahead
156,280,1482,1.8499608039855957,46.16,96.06,0.1216,0,1,lookahead
157,388,1983,2.227311134338379,67.08,192.3,0.1361,0,1,lookahead
158,182,897,1.0911707878112793,16.48,109.5,0.1117,0,1,lookahead
159,495,2272,2.3359391689300537,58.18,188.7,0.03845,0,1,lookahead
160,355,1488,1.821249008178711,47.49,233.6,0.1211,0,1,lookahead
161,426,1992,2.1270689964294434,102.8,171.6,0.1245,0,1,lookahead
162,225,1176,1.5184459686279297,33.57,104.4,0.1053,0,1,lookahead
163,77,372,0.5960109233856201,9.657,63.41,0.05826,0,1,lookahead
164,428,2071,2.3449912071228027,36.48,99.8,0.1244,0,1,lookahead
165,198,1191,1.2811031341552734,16.04,106.0,0.05146,0,1,lookahead
166,293,1419,1.5977778434753418,27.11,76.2,0.08403,0,1,lookahead
167,153,750,1.0089290142059326,14.36,61.86,0.07753,0,1,lookahead
168,27,165,0.3739006519317627,14.31,37.32,0.02049,0,1,lookahead
169,85,441,0.7565069198608398,28.21,48.02,0.06977,0,1,lookahead
170,34,207,0.32124900817871094,11.09,15.35,0.05762,0,1,lookahead
171,68,396,0.6843981742858887,17.28,60.09,0.06022,0,1,lookahead
172,130,642,0.8991520404815674,10.92,87.44,0.0517,0,1,lookahead
173,333,1569,1.8656861782073975,13.45,93.3,0.09378,0,1,lookahead
174,192,909,1.2828688621520996,23.55,95.39,0.05051,0,1,lookahead
175,456,2113,2.132352113723755,88.82,317.4,0.1466,0,1,lookahead
176,56,393,0.7465119361877441,17.93,57.33,0.05796,0,1,lookahead
177,289,1218,1.414597988128662,28.49,133.8,0.06989,0,1,lookahead
178,340,1608,1.8187839984893799,109.2,326.5,0.1505,0,1,lookahead
179,327,1605,1.8202991485595703,64.08,114.9,0.09738,0,1,lookahead
