depth,cx,time,depth_std,cx_std,time_std,circuit,layout_pass,num_times,max_iter,beam,look,crit
141,324,0.9920930862426758,0.0,0.0,0.0,qvol_10_10_0105.qasm,SabreLayout,1,3,4,1,1
261,741,5.585497140884399,0.0,0.0,0.0,qvol_10_20_0096.qasm,SabreLayout,1,3,4,1,1
312,1188,13.497895956039429,0.0,0.0,0.0,qvol_10_30_0719.qasm,SabreLayout,1,3,4,1,1
405,1533,26.01676893234253,0.0,0.0,0.0,qvol_10_40_0778.qasm,SabreLayout,1,3,4,1,1
492,1824,45.78842902183533,0.0,0.0,0.0,qvol_10_50_0345.qasm,SabreLayout,1,3,4,1,1
