best_data,std_dev,routing pass,layout pass,coupling map,circuit label,beam width,look ahead
"{'depth': 61, 'depth_ratio': 2.44, 'time': 0.030128955841064453, 'cx_gates': 207, 'num_gates': 208}","{'depth': 6.554, 'depth_ratio': 0.2622, 'time': 0.0129, 'cx_gates': 4.874, 'num_gates': 4.874}",sabre_v020_dive_001,sabre_v020,hex_27,0,1,0
"{'depth': 62, 'depth_ratio': 2.48, 'time': 0.048277854919433594, 'cx_gates': 207, 'num_gates': 208}","{'depth': 6.229, 'depth_ratio': 0.2492, 'time': 0.00105, 'cx_gates': 14.87, 'num_gates': 14.87}",sabre_v020_dive_002,sabre_v020,hex_27,0,2,0
"{'depth': 62, 'depth_ratio': 2.48, 'time': 0.06836915016174316, 'cx_gates': 207, 'num_gates': 208}","{'depth': 3.499, 'depth_ratio': 0.1399, 'time': 0.002288, 'cx_gates': 14.32, 'num_gates': 14.32}",sabre_v020_dive_003,sabre_v020,hex_27,0,3,0
"{'depth': 62, 'depth_ratio': 2.48, 'time': 0.08495187759399414, 'cx_gates': 207, 'num_gates': 208}","{'depth': 3.499, 'depth_ratio': 0.1399, 'time': 0.002658, 'cx_gates': 14.32, 'num_gates': 14.32}",sabre_v020_dive_004,sabre_v020,hex_27,0,4,0
"{'depth': 62, 'depth_ratio': 2.48, 'time': 0.10408210754394531, 'cx_gates': 207, 'num_gates': 208}","{'depth': 2.926, 'depth_ratio': 0.117, 'time': 0.003363, 'cx_gates': 16.48, 'num_gates': 16.48}",sabre_v020_dive_005,sabre_v020,hex_27,0,5,0
"{'depth': 60, 'depth_ratio': 2.4, 'time': 0.1242830753326416, 'cx_gates': 210, 'num_gates': 211}","{'depth': 3.007, 'depth_ratio': 0.1203, 'time': 0.01066, 'cx_gates': 16.48, 'num_gates': 16.48}",sabre_v020_dive_006,sabre_v020,hex_27,0,6,0
"{'depth': 62, 'depth_ratio': 2.48, 'time': 0.13882899284362793, 'cx_gates': 207, 'num_gates': 208}","{'depth': 2.608, 'depth_ratio': 0.1043, 'time': 0.003656, 'cx_gates': 16.61, 'num_gates': 16.61}",sabre_v020_dive_007,sabre_v020,hex_27,0,7,0
"{'depth': 62, 'depth_ratio': 2.48, 'time': 0.15911221504211426, 'cx_gates': 207, 'num_gates': 208}","{'depth': 2.608, 'depth_ratio': 0.1043, 'time': 0.006352, 'cx_gates': 16.61, 'num_gates': 16.61}",sabre_v020_dive_008,sabre_v020,hex_27,0,8,0
"{'depth': 62, 'depth_ratio': 2.48, 'time': 0.18377399444580078, 'cx_gates': 207, 'num_gates': 208}","{'depth': 2.608, 'depth_ratio': 0.1043, 'time': 0.005932, 'cx_gates': 16.61, 'num_gates': 16.61}",sabre_v020_dive_009,sabre_v020,hex_27,0,9,0
"{'depth': 62, 'depth_ratio': 2.48, 'time': 0.30153822898864746, 'cx_gates': 207, 'num_gates': 208}","{'depth': 3.072, 'depth_ratio': 0.1229, 'time': 0.04213, 'cx_gates': 15.81, 'num_gates': 15.81}",sabre_v020_dive_010,sabre_v020,hex_27,0,10,0
