swap_count,depth,runtime,num_qubits,heuristic,cmap,trials,seed
57,54,0.04311990737915039,10,decay,heavy_hex_127.txt,1,42
57,54,0.04347085952758789,10,decay,heavy_hex_127.txt,2,42
57,54,0.045114994049072266,10,decay,heavy_hex_127.txt,3,42
57,54,0.04442000389099121,10,decay,heavy_hex_127.txt,4,42
57,54,0.050971031188964844,10,decay,heavy_hex_127.txt,5,42
57,54,0.056291818618774414,10,decay,heavy_hex_127.txt,7,42
56,56,0.05960416793823242,10,decay,heavy_hex_127.txt,8,42
54,49,0.07442188262939453,10,decay,heavy_hex_127.txt,10,42
54,49,0.07277321815490723,10,decay,heavy_hex_127.txt,11,42
54,49,0.10424995422363281,10,decay,heavy_hex_127.txt,14,42
54,49,0.13731813430786133,10,decay,heavy_hex_127.txt,17,42
54,49,0.16643786430358887,10,decay,heavy_hex_127.txt,20,42
45,54,0.19585585594177246,10,decay,heavy_hex_127.txt,24,42
45,54,0.24230074882507324,10,decay,heavy_hex_127.txt,28,42
45,54,0.362410306930542,10,decay,heavy_hex_127.txt,34,42
45,54,0.48075079917907715,10,decay,heavy_hex_127.txt,41,42
45,54,0.6004841327667236,10,decay,heavy_hex_127.txt,49,42
45,54,0.8054661750793457,10,decay,heavy_hex_127.txt,58,42
45,54,1.315809965133667,10,decay,heavy_hex_127.txt,70,42
45,54,1.9360129833221436,10,decay,heavy_hex_127.txt,83,42
45,54,2.6048121452331543,10,decay,heavy_hex_127.txt,100,42
45,54,3.37273907661438,10,decay,heavy_hex_127.txt,119,42
45,54,4.941735029220581,10,decay,heavy_hex_127.txt,142,42
45,54,6.825160980224609,10,decay,heavy_hex_127.txt,170,42
45,54,9.729265213012695,10,decay,heavy_hex_127.txt,203,42
45,54,14.134274005889893,10,decay,heavy_hex_127.txt,242,42
45,54,22.40630292892456,10,decay,heavy_hex_127.txt,289,42
45,54,35.44213795661926,10,decay,heavy_hex_127.txt,345,42
45,54,55.262187004089355,10,decay,heavy_hex_127.txt,412,42
45,54,81.11164689064026,10,decay,heavy_hex_127.txt,492,42
45,54,119.4845929145813,10,decay,heavy_hex_127.txt,587,42
45,54,178.26586079597473,10,decay,heavy_hex_127.txt,701,42
45,54,254.67101001739502,10,decay,heavy_hex_127.txt,837,42
45,54,368.3586778640747,10,decay,heavy_hex_127.txt,1000,42
670,314,0.4245429039001465,29,decay,heavy_hex_127.txt,1,42
570,297,0.4944489002227783,29,decay,heavy_hex_127.txt,2,42
570,297,0.2821183204650879,29,decay,heavy_hex_127.txt,3,42
570,297,0.27382826805114746,29,decay,heavy_hex_127.txt,4,42
570,297,0.2962980270385742,29,decay,heavy_hex_127.txt,5,42
542,252,0.38947606086730957,29,decay,heavy_hex_127.txt,7,42
541,219,0.43908214569091797,29,decay,heavy_hex_127.txt,8,42
531,229,0.6192262172698975,29,decay,heavy_hex_127.txt,10,42
521,252,0.6196320056915283,29,decay,heavy_hex_127.txt,11,42
521,252,1.358954906463623,29,decay,heavy_hex_127.txt,14,42
498,301,2.0580368041992188,29,decay,heavy_hex_127.txt,17,42
498,301,2.6392898559570312,29,decay,heavy_hex_127.txt,20,42
498,301,2.82222318649292,29,decay,heavy_hex_127.txt,24,42
498,301,4.844406843185425,29,decay,heavy_hex_127.txt,28,42
498,301,6.700617074966431,29,decay,heavy_hex_127.txt,34,42
498,301,8.643829107284546,29,decay,heavy_hex_127.txt,41,42
498,301,12.55429983139038,29,decay,heavy_hex_127.txt,49,42
498,301,17.111217975616455,29,decay,heavy_hex_127.txt,58,42
498,301,23.829909086227417,29,decay,heavy_hex_127.txt,70,42
497,261,33.324910163879395,29,decay,heavy_hex_127.txt,83,42
497,261,47.39737582206726,29,decay,heavy_hex_127.txt,100,42
497,261,65.14951705932617,29,decay,heavy_hex_127.txt,119,42
497,261,92.67597079277039,29,decay,heavy_hex_127.txt,142,42
492,260,130.23050498962402,29,decay,heavy_hex_127.txt,170,42
476,247,184.47268104553223,29,decay,heavy_hex_127.txt,203,42
