swap_count,depth,runtime,num_qubits,heuristic,cmap,trials,seed
830,409,1.2146832942962646,34,lookahead,heavy_hex_127.txt,20,36048
1259,462,1.75600004196167,40,lookahead,heavy_hex_127.txt,20,32098
1413,399,2.1241118907928467,46,lookahead,heavy_hex_127.txt,20,29256
1855,599,2.9739251136779785,52,lookahead,heavy_hex_127.txt,20,18289
2598,887,3.7446060180664062,58,lookahead,heavy_hex_127.txt,20,96530
2484,475,4.510681867599487,64,lookahead,heavy_hex_127.txt,20,13434
3589,1206,5.479905843734741,70,lookahead,heavy_hex_127.txt,20,88696
4201,1092,6.193493843078613,76,lookahead,heavy_hex_127.txt,20,97080
4776,1430,6.991474866867065,82,lookahead,heavy_hex_127.txt,20,71482
6637,1877,9.227230072021484,88,lookahead,heavy_hex_127.txt,20,11395
7679,2017,11.37038278579712,94,lookahead,heavy_hex_127.txt,20,77397
7586,1792,11.368179082870483,100,lookahead,heavy_hex_127.txt,20,55302
8145,1963,12.933995008468628,106,lookahead,heavy_hex_127.txt,20,4165
9705,2946,14.53209400177002,112,lookahead,heavy_hex_127.txt,20,3905
10841,2444,16.496227025985718,118,lookahead,heavy_hex_127.txt,20,12280
11553,2179,19.449683904647827,127,lookahead,heavy_hex_127.txt,20,28657
34,58,0.15886807441711426,10,lookahead,square_144.txt,20,83810
87,93,0.30345606803894043,16,lookahead,square_144.txt,20,14592
192,150,0.44490814208984375,22,lookahead,square_144.txt,20,3278
302,195,0.8231639862060547,28,lookahead,square_144.txt,20,97196
431,278,0.9695508480072021,34,lookahead,square_144.txt,20,36048
607,334,1.4340829849243164,40,lookahead,square_144.txt,20,32098
844,383,1.8539538383483887,46,lookahead,square_144.txt,20,29256
1135,538,2.2604458332061768,52,lookahead,square_144.txt,20,18289
1406,680,2.9282541275024414,58,lookahead,square_144.txt,20,96530
1682,580,3.8761038780212402,64,lookahead,square_144.txt,20,13434
2113,889,4.240130662918091,70,lookahead,square_144.txt,20,88696
2429,1002,5.557147026062012,76,lookahead,square_144.txt,20,97080
2824,805,6.0185158252716064,82,lookahead,square_144.txt,20,71482
3455,1206,7.685352087020874,88,lookahead,square_144.txt,20,11395
3958,1166,8.634976148605347,94,lookahead,square_144.txt,20,77397
4584,1847,10.250524997711182,100,lookahead,square_144.txt,20,55302
4875,1748,11.106966733932495,106,lookahead,square_144.txt,20,4165
5530,1897,12.41201901435852,112,lookahead,square_144.txt,20,3905
5659,1714,13.786454916000366,118,lookahead,square_144.txt,20,12280
7343,2041,16.894376039505005,127,lookahead,square_144.txt,20,28657
64,51,0.1879868507385254,10,decay,ring_127.txt,20,83810
173,79,0.3313426971435547,16,decay,ring_127.txt,20,14592
337,126,0.5678367614746094,22,decay,ring_127.txt,20,3278
608,226,0.8436610698699951,28,decay,ring_127.txt,20,97196
1177,494,1.400136947631836,34,decay,ring_127.txt,20,36048
1450,617,1.9817798137664795,40,decay,ring_127.txt,20,32098
1863,752,2.4645750522613525,46,decay,ring_127.txt,20,29256
2540,1041,3.1526451110839844,52,decay,ring_127.txt,20,18289
2957,1043,4.523870944976807,58,decay,ring_127.txt,20,96530
3359,1108,5.451157093048096,64,decay,ring_127.txt,20,13434
5234,1923,7.079539060592651,70,decay,ring_127.txt,20,88696
