best_data,std_dev,routing pass,layout pass,coupling map,circuit label,beam width,look ahead
"{'depth': 32, 'depth_ratio': 6.4, 'time': 0.06229805946350098, 'cx_gates': 87, 'num_gates': 112}","{'depth': 4.716, 'depth_ratio': 0.9432, 'time': 0.01906, 'cx_gates': 5.879, 'num_gates': 5.879}",sabre_v020_dive_001,sabre_v020,hex_27,0,1,0
"{'depth': 30, 'depth_ratio': 6.0, 'time': 0.06415009498596191, 'cx_gates': 60, 'num_gates': 85}","{'depth': 5.2, 'depth_ratio': 1.04, 'time': 0.002374, 'cx_gates': 23.13, 'num_gates': 23.13}",sabre_v020_dive_001,sabre_v020,hex_27,1,1,0
"{'depth': 44, 'depth_ratio': 8.8, 'time': 0.06005287170410156, 'cx_gates': 99, 'num_gates': 124}","{'depth': 2.966, 'depth_ratio': 0.5933, 'time': 0.00179, 'cx_gates': 14.25, 'num_gates': 14.25}",sabre_v020_dive_001,sabre_v020,hex_27,2,1,0
"{'depth': 20, 'depth_ratio': 4.0, 'time': 0.8443219661712646, 'cx_gates': 48, 'num_gates': 73}","{'depth': 9.394, 'depth_ratio': 1.879, 'time': 0.3156, 'cx_gates': 12.35, 'num_gates': 12.35}",sabre_v020_dive_001,sabre_v020,hex_27,3,1,0
"{'depth': 38, 'depth_ratio': 7.6, 'time': 0.0627131462097168, 'cx_gates': 96, 'num_gates': 121}","{'depth': 8.565, 'depth_ratio': 1.713, 'time': 0.001141, 'cx_gates': 6.119, 'num_gates': 6.119}",sabre_v020_dive_001,sabre_v020,hex_27,4,1,0
"{'depth': 66, 'depth_ratio': 6.6, 'time': 0.10797786712646484, 'cx_gates': 168, 'num_gates': 218}","{'depth': 14.72, 'depth_ratio': 1.472, 'time': 0.005075, 'cx_gates': 21.93, 'num_gates': 21.93}",sabre_v020_dive_001,sabre_v020,hex_27,5,1,0
"{'depth': 67, 'depth_ratio': 6.7, 'time': 0.11603903770446777, 'cx_gates': 195, 'num_gates': 245}","{'depth': 13.64, 'depth_ratio': 1.364, 'time': 0.005127, 'cx_gates': 21.21, 'num_gates': 21.21}",sabre_v020_dive_001,sabre_v020,hex_27,6,1,0
"{'depth': 56, 'depth_ratio': 5.6, 'time': 0.10812973976135254, 'cx_gates': 153, 'num_gates': 203}","{'depth': 13.95, 'depth_ratio': 1.395, 'time': 0.00289, 'cx_gates': 27.32, 'num_gates': 27.32}",sabre_v020_dive_001,sabre_v020,hex_27,7,1,0
"{'depth': 61, 'depth_ratio': 6.1, 'time': 0.10997390747070312, 'cx_gates': 186, 'num_gates': 236}","{'depth': 13.46, 'depth_ratio': 1.346, 'time': 0.002625, 'cx_gates': 35.8, 'num_gates': 35.8}",sabre_v020_dive_001,sabre_v020,hex_27,8,1,0
"{'depth': 56, 'depth_ratio': 5.6, 'time': 0.11154913902282715, 'cx_gates': 159, 'num_gates': 209}","{'depth': 18.6, 'depth_ratio': 1.86, 'time': 0.007787, 'cx_gates': 31.5, 'num_gates': 31.5}",sabre_v020_dive_001,sabre_v020,hex_27,9,1,0
"{'depth': 114, 'depth_ratio': 7.6, 'time': 0.18145322799682617, 'cx_gates': 297, 'num_gates': 372}","{'depth': 24.04, 'depth_ratio': 1.604, 'time': 0.007185, 'cx_gates': 37.69, 'num_gates': 37.69}",sabre_v020_dive_001,sabre_v020,hex_27,10,1,0
"{'depth': 107, 'depth_ratio': 7.13, 'time': 0.17293405532836914, 'cx_gates': 270, 'num_gates': 345}","{'depth': 21.36, 'depth_ratio': 1.425, 'time': 0.02764, 'cx_gates': 18.73, 'num_gates': 18.73}",sabre_v020_dive_001,sabre_v020,hex_27,11,1,0
"{'depth': 113, 'depth_ratio': 7.53, 'time': 0.17943120002746582, 'cx_gates': 354, 'num_gates': 429}","{'depth': 19.62, 'depth_ratio': 1.308, 'time': 0.01046, 'cx_gates': 39.41, 'num_gates': 39.41}",sabre_v020_dive_001,sabre_v020,hex_27,12,1,0
"{'depth': 87, 'depth_ratio': 5.8, 'time': 0.16909503936767578, 'cx_gates': 237, 'num_gates': 312}","{'depth': 23.6, 'depth_ratio': 1.574, 'time': 0.3768, 'cx_gates': 17.35, 'num_gates': 17.35}",sabre_v020_dive_001,sabre_v020,hex_27,13,1,0
"{'depth': 109, 'depth_ratio': 7.27, 'time': 0.18974089622497559, 'cx_gates': 336, 'num_gates': 411}","{'depth': 7.73, 'depth_ratio': 0.5154, 'time': 0.008161, 'cx_gates': 24.64, 'num_gates': 24.64}",sabre_v020_dive_001,sabre_v020,hex_27,14,1,0
"{'depth': 167, 'depth_ratio': 8.35, 'time': 1.0049159526824951, 'cx_gates': 372, 'num_gates': 472}","{'depth': 9.099, 'depth_ratio': 0.455, 'time': 0.3093, 'cx_gates': 37.92, 'num_gates': 37.92}",sabre_v020_dive_001,sabre_v020,hex_27,15,1,0
"{'depth': 135, 'depth_ratio': 6.75, 'time': 0.22812199592590332, 'cx_gates': 378, 'num_gates': 478}","{'depth': 22.95, 'depth_ratio': 1.148, 'time': 0.01316, 'cx_gates': 22.09, 'num_gates': 22.09}",sabre_v020_dive_001,sabre_v020,hex_27,16,1,0
"{'depth': 146, 'depth_ratio': 7.3, 'time': 0.24654793739318848, 'cx_gates': 447, 'num_gates': 547}","{'depth': 38.3, 'depth_ratio': 1.915, 'time': 0.01246, 'cx_gates': 24.98, 'num_gates': 24.98}",sabre_v020_dive_001,sabre_v020,hex_27,17,1,0
"{'depth': 144, 'depth_ratio': 7.2, 'time': 0.2370917797088623, 'cx_gates': 414, 'num_gates': 514}","{'depth': 21.1, 'depth_ratio': 1.055, 'time': 0.006574, 'cx_gates': 18.97, 'num_gates': 18.97}",sabre_v020_dive_001,sabre_v020,hex_27,18,1,0
"{'depth': 135, 'depth_ratio': 6.75, 'time': 0.22161173820495605, 'cx_gates': 321, 'num_gates': 421}","{'depth': 19.6, 'depth_ratio': 0.9801, 'time': 0.006563, 'cx_gates': 41.29, 'num_gates': 41.29}",sabre_v020_dive_001,sabre_v020,hex_27,19,1,0
"{'depth': 173, 'depth_ratio': 6.92, 'time': 0.2979311943054199, 'cx_gates': 519, 'num_gates': 644}","{'depth': 28.94, 'depth_ratio': 1.158, 'time': 0.3197, 'cx_gates': 18.78, 'num_gates': 18.78}",sabre_v020_dive_001,sabre_v020,hex_27,20,1,0
"{'depth': 180, 'depth_ratio': 7.2, 'time': 0.2796659469604492, 'cx_gates': 486, 'num_gates': 611}","{'depth': 32.2, 'depth_ratio': 1.288, 'time': 0.006953, 'cx_gates': 39.86, 'num_gates': 39.86}",sabre_v020_dive_001,sabre_v020,hex_27,21,1,0
"{'depth': 169, 'depth_ratio': 6.76, 'time': 0.3007669448852539, 'cx_gates': 504, 'num_gates': 629}","{'depth': 16.38, 'depth_ratio': 0.655, 'time': 0.3105, 'cx_gates': 23.5, 'num_gates': 23.5}",sabre_v020_dive_001,sabre_v020,hex_27,22,1,0
"{'depth': 183, 'depth_ratio': 7.32, 'time': 0.30512189865112305, 'cx_gates': 543, 'num_gates': 668}","{'depth': 31.63, 'depth_ratio': 1.265, 'time': 0.02352, 'cx_gates': 59.73, 'num_gates': 59.73}",sabre_v020_dive_001,sabre_v020,hex_27,23,1,0
"{'depth': 187, 'depth_ratio': 7.48, 'time': 0.33919692039489746, 'cx_gates': 504, 'num_gates': 629}","{'depth': 26.44, 'depth_ratio': 1.058, 'time': 0.01603, 'cx_gates': 22.4, 'num_gates': 22.4}",sabre_v020_dive_001,sabre_v020,hex_27,24,1,0
"{'depth': 202, 'depth_ratio': 6.73, 'time': 0.3443570137023926, 'cx_gates': 543, 'num_gates': 693}","{'depth': 9.282, 'depth_ratio': 0.3099, 'time': 0.3129, 'cx_gates': 44.31, 'num_gates': 44.31}",sabre_v020_dive_001,sabre_v020,hex_27,25,1,0
"{'depth': 206, 'depth_ratio': 6.87, 'time': 0.3601498603820801, 'cx_gates': 591, 'num_gates': 741}","{'depth': 16.79, 'depth_ratio': 0.5593, 'time': 0.00477, 'cx_gates': 31.58, 'num_gates': 31.58}",sabre_v020_dive_001,sabre_v020,hex_27,26,1,0
"{'depth': 220, 'depth_ratio': 7.33, 'time': 1.146667242050171, 'cx_gates': 642, 'num_gates': 792}","{'depth': 14.62, 'depth_ratio': 0.4881, 'time': 0.3121, 'cx_gates': 38.54, 'num_gates': 38.54}",sabre_v020_dive_001,sabre_v020,hex_27,27,1,0
"{'depth': 226, 'depth_ratio': 7.53, 'time': 0.36958789825439453, 'cx_gates': 678, 'num_gates': 828}","{'depth': 17.01, 'depth_ratio': 0.5685, 'time': 0.3184, 'cx_gates': 36.17, 'num_gates': 36.17}",sabre_v020_dive_001,sabre_v020,hex_27,28,1,0
"{'depth': 229, 'depth_ratio': 7.63, 'time': 0.3632800579071045, 'cx_gates': 621, 'num_gates': 771}","{'depth': 39.27, 'depth_ratio': 1.309, 'time': 0.009073, 'cx_gates': 52.25, 'num_gates': 52.25}",sabre_v020_dive_001,sabre_v020,hex_27,29,1,0
"{'depth': 246, 'depth_ratio': 7.03, 'time': 0.40381693840026855, 'cx_gates': 705, 'num_gates': 880}","{'depth': 15.64, 'depth_ratio': 0.4477, 'time': 0.3104, 'cx_gates': 46.65, 'num_gates': 46.65}",sabre_v020_dive_001,sabre_v020,hex_27,30,1,0
"{'depth': 285, 'depth_ratio': 8.14, 'time': 0.42679715156555176, 'cx_gates': 801, 'num_gates': 976}","{'depth': 21.06, 'depth_ratio': 0.6, 'time': 0.3069, 'cx_gates': 29.31, 'num_gates': 29.31}",sabre_v020_dive_001,sabre_v020,hex_27,31,1,0
"{'depth': 267, 'depth_ratio': 7.63, 'time': 1.2148170471191406, 'cx_gates': 837, 'num_gates': 1012}","{'depth': 9.646, 'depth_ratio': 0.2761, 'time': 0.3185, 'cx_gates': 28.62, 'num_gates': 28.62}",sabre_v020_dive_001,sabre_v020,hex_27,32,1,0
"{'depth': 258, 'depth_ratio': 7.37, 'time': 0.40966796875, 'cx_gates': 723, 'num_gates': 898}","{'depth': 55.66, 'depth_ratio': 1.592, 'time': 0.01248, 'cx_gates': 53.11, 'num_gates': 53.11}",sabre_v020_dive_001,sabre_v020,hex_27,33,1,0
"{'depth': 273, 'depth_ratio': 7.8, 'time': 0.43077802658081055, 'cx_gates': 759, 'num_gates': 934}","{'depth': 50.5, 'depth_ratio': 1.443, 'time': 0.3164, 'cx_gates': 46.75, 'num_gates': 46.75}",sabre_v020_dive_001,sabre_v020,hex_27,34,1,0
"{'depth': 286, 'depth_ratio': 7.15, 'time': 0.48702478408813477, 'cx_gates': 876, 'num_gates': 1076}","{'depth': 70.15, 'depth_ratio': 1.753, 'time': 0.3135, 'cx_gates': 23.28, 'num_gates': 23.28}",sabre_v020_dive_001,sabre_v020,hex_27,35,1,0
"{'depth': 283, 'depth_ratio': 7.08, 'time': 0.4755740165710449, 'cx_gates': 849, 'num_gates': 1049}","{'depth': 48.96, 'depth_ratio': 1.224, 'time': 0.3234, 'cx_gates': 7.446, 'num_gates': 7.446}",sabre_v020_dive_001,sabre_v020,hex_27,36,1,0
"{'depth': 306, 'depth_ratio': 7.65, 'time': 0.47942399978637695, 'cx_gates': 894, 'num_gates': 1094}","{'depth': 16.86, 'depth_ratio': 0.424, 'time': 0.3172, 'cx_gates': 25.97, 'num_gates': 25.97}",sabre_v020_dive_001,sabre_v020,hex_27,37,1,0
"{'depth': 294, 'depth_ratio': 7.35, 'time': 0.4763157367706299, 'cx_gates': 861, 'num_gates': 1061}","{'depth': 17.02, 'depth_ratio': 0.4254, 'time': 0.3079, 'cx_gates': 50.19, 'num_gates': 50.19}",sabre_v020_dive_001,sabre_v020,hex_27,38,1,0
"{'depth': 315, 'depth_ratio': 7.88, 'time': 0.4833211898803711, 'cx_gates': 909, 'num_gates': 1109}","{'depth': 14.14, 'depth_ratio': 0.3526, 'time': 0.007342, 'cx_gates': 44.54, 'num_gates': 44.54}",sabre_v020_dive_001,sabre_v020,hex_27,39,1,0
"{'depth': 341, 'depth_ratio': 7.58, 'time': 0.5383291244506836, 'cx_gates': 975, 'num_gates': 1200}","{'depth': 51.75, 'depth_ratio': 1.151, 'time': 0.01553, 'cx_gates': 64.49, 'num_gates': 64.49}",sabre_v020_dive_001,sabre_v020,hex_27,40,1,0
"{'depth': 315, 'depth_ratio': 7.0, 'time': 0.5033750534057617, 'cx_gates': 894, 'num_gates': 1119}","{'depth': 17.55, 'depth_ratio': 0.3912, 'time': 0.01324, 'cx_gates': 49.91, 'num_gates': 49.91}",sabre_v020_dive_001,sabre_v020,hex_27,41,1,0
"{'depth': 357, 'depth_ratio': 7.93, 'time': 0.5489060878753662, 'cx_gates': 999, 'num_gates': 1224}","{'depth': 7.889, 'depth_ratio': 0.1761, 'time': 0.005304, 'cx_gates': 33.55, 'num_gates': 33.55}",sabre_v020_dive_001,sabre_v020,hex_27,42,1,0
"{'depth': 338, 'depth_ratio': 7.51, 'time': 0.544342041015625, 'cx_gates': 975, 'num_gates': 1200}","{'depth': 18.36, 'depth_ratio': 0.4102, 'time': 0.3304, 'cx_gates': 42.74, 'num_gates': 42.74}",sabre_v020_dive_001,sabre_v020,hex_27,43,1,0
"{'depth': 367, 'depth_ratio': 8.16, 'time': 1.3753910064697266, 'cx_gates': 1062, 'num_gates': 1287}","{'depth': 52.89, 'depth_ratio': 1.173, 'time': 0.3354, 'cx_gates': 94.31, 'num_gates': 94.31}",sabre_v020_dive_001,sabre_v020,hex_27,44,1,0
"{'depth': 375, 'depth_ratio': 7.5, 'time': 1.394862174987793, 'cx_gates': 1080, 'num_gates': 1330}","{'depth': 28.3, 'depth_ratio': 0.566, 'time': 0.3161, 'cx_gates': 22.53, 'num_gates': 22.53}",sabre_v020_dive_001,sabre_v020,hex_27,45,1,0
"{'depth': 383, 'depth_ratio': 7.66, 'time': 0.6149201393127441, 'cx_gates': 1107, 'num_gates': 1357}","{'depth': 6.585, 'depth_ratio': 0.1317, 'time': 0.3389, 'cx_gates': 36.66, 'num_gates': 36.66}",sabre_v020_dive_001,sabre_v020,hex_27,46,1,0
"{'depth': 398, 'depth_ratio': 7.96, 'time': 1.409451961517334, 'cx_gates': 1143, 'num_gates': 1393}","{'depth': 35.03, 'depth_ratio': 0.7006, 'time': 0.3136, 'cx_gates': 32.95, 'num_gates': 32.95}",sabre_v020_dive_001,sabre_v020,hex_27,47,1,0
"{'depth': 381, 'depth_ratio': 7.62, 'time': 0.6270511150360107, 'cx_gates': 1077, 'num_gates': 1327}","{'depth': 10.86, 'depth_ratio': 0.2171, 'time': 0.3857, 'cx_gates': 62.08, 'num_gates': 62.08}",sabre_v020_dive_001,sabre_v020,hex_27,48,1,0
"{'depth': 376, 'depth_ratio': 7.52, 'time': 0.7540972232818604, 'cx_gates': 1080, 'num_gates': 1330}","{'depth': 11.04, 'depth_ratio': 0.2208, 'time': 0.05119, 'cx_gates': 27.39, 'num_gates': 27.39}",sabre_v020_dive_001,sabre_v020,hex_27,49,1,0
"{'depth': 427, 'depth_ratio': 7.76, 'time': 0.6574020385742188, 'cx_gates': 1230, 'num_gates': 1505}","{'depth': 15.1, 'depth_ratio': 0.2743, 'time': 0.3227, 'cx_gates': 67.5, 'num_gates': 67.5}",sabre_v020_dive_001,sabre_v020,hex_27,50,1,0
"{'depth': 402, 'depth_ratio': 7.31, 'time': 1.461629867553711, 'cx_gates': 1194, 'num_gates': 1469}","{'depth': 66.98, 'depth_ratio': 1.218, 'time': 0.3193, 'cx_gates': 43.39, 'num_gates': 43.39}",sabre_v020_dive_001,sabre_v020,hex_27,51,1,0
"{'depth': 427, 'depth_ratio': 7.76, 'time': 0.6610631942749023, 'cx_gates': 1158, 'num_gates': 1433}","{'depth': 9.432, 'depth_ratio': 0.1721, 'time': 0.3245, 'cx_gates': 41.18, 'num_gates': 41.18}",sabre_v020_dive_001,sabre_v020,hex_27,52,1,0
"{'depth': 418, 'depth_ratio': 7.6, 'time': 1.444077968597412, 'cx_gates': 1236, 'num_gates': 1511}","{'depth': 83.07, 'depth_ratio': 1.509, 'time': 0.308, 'cx_gates': 38.35, 'num_gates': 38.35}",sabre_v020_dive_001,sabre_v020,hex_27,53,1,0
"{'depth': 419, 'depth_ratio': 7.62, 'time': 0.6678929328918457, 'cx_gates': 1140, 'num_gates': 1415}","{'depth': 10.63, 'depth_ratio': 0.1922, 'time': 0.3952, 'cx_gates': 57.72, 'num_gates': 57.72}",sabre_v020_dive_001,sabre_v020,hex_27,54,1,0
"{'depth': 474, 'depth_ratio': 7.9, 'time': 0.7288119792938232, 'cx_gates': 1353, 'num_gates': 1653}","{'depth': 74.08, 'depth_ratio': 1.234, 'time': 0.3322, 'cx_gates': 95.6, 'num_gates': 95.6}",sabre_v020_dive_001,sabre_v020,hex_27,55,1,0
"{'depth': 467, 'depth_ratio': 7.78, 'time': 0.7323908805847168, 'cx_gates': 1239, 'num_gates': 1539}","{'depth': 16.04, 'depth_ratio': 0.2682, 'time': 0.3766, 'cx_gates': 79.67, 'num_gates': 79.67}",sabre_v020_dive_001,sabre_v020,hex_27,56,1,0
"{'depth': 467, 'depth_ratio': 7.78, 'time': 0.7343077659606934, 'cx_gates': 1404, 'num_gates': 1704}","{'depth': 15.98, 'depth_ratio': 0.2667, 'time': 0.3525, 'cx_gates': 35.02, 'num_gates': 35.02}",sabre_v020_dive_001,sabre_v020,hex_27,57,1,0
"{'depth': 442, 'depth_ratio': 7.37, 'time': 1.5424189567565918, 'cx_gates': 1251, 'num_gates': 1551}","{'depth': 35.51, 'depth_ratio': 0.5917, 'time': 0.409, 'cx_gates': 56.5, 'num_gates': 56.5}",sabre_v020_dive_001,sabre_v020,hex_27,58,1,0
"{'depth': 473, 'depth_ratio': 7.88, 'time': 0.7701351642608643, 'cx_gates': 1350, 'num_gates': 1650}","{'depth': 81.8, 'depth_ratio': 1.363, 'time': 0.3209, 'cx_gates': 27.98, 'num_gates': 27.98}",sabre_v020_dive_001,sabre_v020,hex_27,59,1,0
"{'depth': 517, 'depth_ratio': 7.95, 'time': 0.8133020401000977, 'cx_gates': 1458, 'num_gates': 1783}","{'depth': 48.6, 'depth_ratio': 0.7486, 'time': 0.3523, 'cx_gates': 43.1, 'num_gates': 43.1}",sabre_v020_dive_001,sabre_v020,hex_27,60,1,0
"{'depth': 501, 'depth_ratio': 7.71, 'time': 0.7800867557525635, 'cx_gates': 1455, 'num_gates': 1780}","{'depth': 18.38, 'depth_ratio': 0.2827, 'time': 0.3039, 'cx_gates': 44.68, 'num_gates': 44.68}",sabre_v020_dive_001,sabre_v020,hex_27,61,1,0
"{'depth': 489, 'depth_ratio': 7.52, 'time': 0.7245440483093262, 'cx_gates': 1473, 'num_gates': 1798}","{'depth': 15.66, 'depth_ratio': 0.2406, 'time': 0.3331, 'cx_gates': 45.43, 'num_gates': 45.43}",sabre_v020_dive_001,sabre_v020,hex_27,62,1,0
"{'depth': 493, 'depth_ratio': 7.58, 'time': 1.6445848941802979, 'cx_gates': 1458, 'num_gates': 1783}","{'depth': 26.13, 'depth_ratio': 0.4031, 'time': 0.3346, 'cx_gates': 60.69, 'num_gates': 60.69}",sabre_v020_dive_001,sabre_v020,hex_27,63,1,0
